pixel,wavelength_nm_reported,raman_shift_reported_cm-1,counts_pixel_file,counts_nm2_file,counts_wavenumber_file,counts_nm_file_weak
118,812.879,424.933,1000.0,756.0,793.0,365.0
119,813.071,427.776,843.0,622.0,693.0,371.0
120,813.263,430.619,660.0,506.0,538.0,354.0
121,813.455,433.459,493.0,413.0,436.0,338.0
122,813.646,436.298,403.0,365.0,381.0,317.0
123,813.838,439.136,383.0,355.0,352.0,315.0
124,814.03,441.971,384.0,361.0,364.0,335.0
125,814.222,444.805,359.0,347.0,353.0,319.0
126,814.413,447.638,354.0,345.0,346.0,314.0
127,814.605,450.468,371.0,350.0,350.0,312.0
128,814.796,453.297,353.0,328.0,336.0,295.0
129,814.988,456.124,350.0,326.0,338.0,302.0
130,815.179,458.95,362.0,332.0,338.0,293.0
131,815.37,461.774,370.0,345.0,347.0,286.0
132,815.562,464.596,395.0,375.0,366.0,308.0
133,815.753,467.417,412.0,393.0,372.0,310.0
134,815.944,470.236,422.0,382.0,385.0,297.0
135,816.135,473.053,483.0,397.0,404.0,289.0
136,816.327,475.869,582.0,469.0,440.0,306.0
137,816.518,478.683,645.0,511.0,477.0,306.0
138,816.709,481.495,715.0,539.0,524.0,311.0
139,816.9,484.306,727.0,555.0,556.0,325.0
140,817.091,487.115,665.0,531.0,535.0,310.0
141,817.282,489.922,572.0,491.0,484.0,305.0
142,817.472,492.728,478.0,452.0,427.0,316.0
143,817.663,495.532,425.0,421.0,398.0,325.0
144,817.854,498.334,375.0,381.0,381.0,312.0
145,818.045,501.135,372.0,360.0,371.0,310.0
146,818.235,503.934,404.0,356.0,370.0,323.0
147,818.426,506.732,388.0,338.0,360.0,315.0
148,818.616,509.527,351.0,341.0,343.0,297.0
149,818.807,512.321,362.0,353.0,348.0,290.0
150,818.997,515.114,381.0,357.0,349.0,294.0
151,819.188,517.905,375.0,352.0,339.0,301.0
152,819.378,520.694,371.0,343.0,356.0,304.0
153,819.568,523.482,358.0,339.0,359.0,303.0
154,819.759,526.267,365.0,352.0,349.0,315.0
155,819.949,529.052,375.0,359.0,356.0,317.0
156,820.139,531.834,368.0,354.0,340.0,293.0
157,820.329,534.615,360.0,357.0,337.0,299.0
158,820.519,537.395,371.0,362.0,350.0,317.0
159,820.709,540.172,378.0,354.0,343.0,308.0
160,820.899,542.948,365.0,346.0,353.0,300.0
161,821.089,545.723,365.0,341.0,356.0,295.0
162,821.279,548.496,367.0,341.0,344.0,292.0
163,821.469,551.267,382.0,357.0,343.0,295.0
164,821.659,554.036,390.0,368.0,356.0,308.0
165,821.849,556.804,384.0,366.0,371.0,320.0
166,822.038,559.57,376.0,368.0,379.0,304.0
167,822.228,562.335,372.0,370.0,375.0,290.0
168,822.417,565.098,363.0,357.0,357.0,285.0
169,822.607,567.859,367.0,357.0,366.0,292.0
170,822.797,570.619,402.0,372.0,374.0,310.0
171,822.986,573.377,413.0,375.0,361.0,314.0
172,823.175,576.133,403.0,377.0,370.0,321.0
173,823.365,578.888,403.0,369.0,373.0,319.0
174,823.554,581.641,417.0,368.0,377.0,324.0
175,823.743,584.393,424.0,388.0,395.0,337.0
176,823.933,587.143,400.0,365.0,372.0,310.0
177,824.122,589.891,376.0,347.0,341.0,278.0
178,824.311,592.638,372.0,373.0,338.0,288.0
179,824.5,595.383,379.0,375.0,341.0,295.0
180,824.689,598.126,395.0,380.0,355.0,297.0
181,824.878,600.868,396.0,385.0,362.0,307.0
182,825.067,603.608,395.0,374.0,368.0,300.0
183,825.256,606.347,400.0,372.0,373.0,306.0
184,825.445,609.084,388.0,379.0,373.0,319.0
185,825.633,611.819,388.0,382.0,361.0,314.0
186,825.822,614.553,397.0,383.0,361.0,315.0
187,826.011,617.285,391.0,376.0,355.0,301.0
188,826.2,620.015,390.0,393.0,354.0,293.0
189,826.388,622.744,401.0,407.0,379.0,297.0
190,826.577,625.471,403.0,394.0,378.0,297.0
191,826.765,628.197,414.0,407.0,385.0,299.0
192,826.954,630.921,445.0,441.0,396.0,307.0
193,827.142,633.644,476.0,461.0,405.0,322.0
194,827.33,636.364,523.0,468.0,441.0,327.0
195,827.519,639.084,553.0,479.0,456.0,321.0
196,827.707,641.801,551.0,482.0,470.0,310.0
197,827.895,644.517,568.0,475.0,499.0,304.0
198,828.084,647.231,568.0,460.0,479.0,294.0
199,828.272,649.944,506.0,434.0,437.0,286.0
200,828.46,652.655,444.0,395.0,384.0,281.0
201,828.648,655.365,436.0,391.0,377.0,288.0
202,828.836,658.073,428.0,407.0,406.0,300.0
203,829.024,660.779,428.0,402.0,406.0,305.0
204,829.212,663.484,437.0,422.0,412.0,317.0
205,829.4,666.187,443.0,435.0,407.0,319.0
206,829.587,668.888,444.0,419.0,406.0,322.0
207,829.775,671.588,446.0,430.0,420.0,333.0
208,829.963,674.287,439.0,425.0,400.0,309.0
209,830.151,676.983,426.0,420.0,381.0,299.0
210,830.338,679.679,426.0,408.0,387.0,311.0
211,830.526,682.372,440.0,406.0,401.0,306.0
212,830.713,685.064,437.0,420.0,404.0,300.0
213,830.901,687.754,420.0,413.0,405.0,296.0
214,831.088,690.443,429.0,409.0,414.0,291.0
215,831.276,693.13,428.0,392.0,386.0,289.0
216,831.463,695.816,438.0,396.0,374.0,293.0
217,831.65,698.5,454.0,428.0,404.0,308.0
218,831.837,701.182,448.0,429.0,401.0,303.0
219,832.025,703.863,441.0,422.0,397.0,296.0
220,832.212,706.542,447.0,417.0,404.0,297.0
221,832.399,709.22,453.0,401.0,405.0,287.0
222,832.586,711.896,459.0,419.0,408.0,304.0
223,832.773,714.57,451.0,431.0,399.0,301.0
224,832.96,717.243,461.0,429.0,392.0,295.0
225,833.147,719.914,455.0,436.0,406.0,305.0
226,833.334,722.584,445.0,428.0,420.0,301.0
227,833.521,725.252,463.0,424.0,402.0,297.0
228,833.707,727.919,465.0,440.0,408.0,298.0
229,833.894,730.584,470.0,448.0,414.0,298.0
230,834.081,733.247,468.0,429.0,415.0,290.0
231,834.268,735.909,449.0,419.0,412.0,288.0
232,834.454,738.569,452.0,434.0,406.0,313.0
233,834.641,741.227,457.0,440.0,423.0,321.0
234,834.827,743.884,455.0,405.0,395.0,285.0
235,835.014,746.54,462.0,410.0,383.0,278.0
236,835.2,749.194,461.0,444.0,412.0,301.0
237,835.387,751.846,472.0,445.0,429.0,307.0
238,835.573,754.497,472.0,439.0,420.0,302.0
239,835.759,757.146,476.0,447.0,416.0,298.0
240,835.945,759.794,484.0,439.0,429.0,292.0
241,836.132,762.44,468.0,419.0,408.0,287.0
242,836.318,765.084,474.0,425.0,390.0,290.0
243,836.504,767.727,494.0,434.0,414.0,301.0
244,836.69,770.368,499.0,457.0,429.0,309.0
245,836.876,773.008,511.0,466.0,418.0,305.0
246,837.062,775.646,495.0,465.0,405.0,296.0
247,837.248,778.283,466.0,452.0,403.0,281.0
248,837.434,780.918,480.0,429.0,413.0,280.0
249,837.62,783.551,504.0,446.0,421.0,291.0
250,837.805,786.183,489.0,436.0,417.0,286.0
251,837.991,788.813,475.0,419.0,415.0,291.0
252,838.177,791.442,499.0,434.0,427.0,296.0
253,838.362,794.069,502.0,444.0,441.0,294.0
254,838.548,796.695,489.0,455.0,423.0,293.0
255,838.734,799.319,493.0,467.0,412.0,298.0
256,838.919,801.942,489.0,475.0,427.0,298.0
257,839.105,804.563,491.0,467.0,435.0,292.0
258,839.29,807.182,514.0,455.0,427.0,303.0
259,839.475,809.8,514.0,462.0,424.0,291.0
260,839.661,812.416,497.0,457.0,438.0,278.0
261,839.846,815.031,501.0,443.0,441.0,302.0
262,840.031,817.644,506.0,467.0,441.0,306.0
263,840.216,820.256,511.0,474.0,444.0,296.0
264,840.402,822.866,513.0,456.0,435.0,284.0
265,840.587,825.475,502.0,456.0,444.0,280.0
266,840.772,828.082,511.0,481.0,466.0,303.0
267,840.957,830.687,527.0,477.0,451.0,288.0
268,841.142,833.291,532.0,476.0,452.0,263.0
269,841.327,835.893,550.0,516.0,467.0,286.0
270,841.511,838.494,604.0,543.0,489.0,305.0
271,841.696,841.093,687.0,579.0,523.0,313.0
272,841.881,843.691,760.0,612.0,554.0,309.0
273,842.066,846.287,836.0,642.0,600.0,291.0
274,842.251,848.882,909.0,687.0,652.0,316.0
275,842.435,851.475,917.0,698.0,659.0,335.0
276,842.62,854.066,831.0,661.0,627.0,318.0
277,842.804,856.656,704.0,605.0,593.0,302.0
278,842.989,859.245,639.0,564.0,532.0,293.0
279,843.173,861.832,642.0,550.0,498.0,293.0
280,843.358,864.417,709.0,596.0,537.0,316.0
281,843.542,867.001,832.0,665.0,625.0,319.0
282,843.726,869.583,963.0,705.0,701.0,297.0
283,843.911,872.164,1043.0,739.0,732.0,305.0
284,844.095,874.743,1010.0,733.0,729.0,320.0
285,844.279,877.321,930.0,696.0,685.0,313.0
