pixel,wavelength_nm_reported,raman_shift_reported_cm-1,counts_pixel_file,counts_nm2_file,counts_wavenumber_file,counts_nm_file_weak
517,885.849,1435.65,808.0,675.0,597.0,296.0
518,886.023,1437.89,816.0,692.0,612.0,298.0
519,886.197,1440.13,821.0,691.0,622.0,305.0
520,886.372,1442.37,806.0,690.0,604.0,294.0
521,886.546,1444.61,797.0,693.0,591.0,294.0
522,886.72,1446.85,791.0,668.0,589.0,290.0
523,886.894,1449.09,782.0,661.0,606.0,282.0
524,887.068,1451.32,798.0,693.0,624.0,301.0
525,887.242,1453.56,774.0,707.0,606.0,294.0
526,887.417,1455.79,742.0,696.0,574.0,284.0
527,887.591,1458.02,772.0,705.0,590.0,295.0
528,887.764,1460.25,793.0,699.0,615.0,294.0
529,887.938,1462.48,765.0,674.0,602.0,277.0
530,888.112,1464.71,770.0,672.0,595.0,278.0
531,888.286,1466.93,773.0,665.0,606.0,281.0
532,888.46,1469.16,758.0,668.0,603.0,277.0
533,888.634,1471.38,751.0,667.0,585.0,270.0
534,888.807,1473.6,746.0,666.0,590.0,269.0
535,888.981,1475.82,774.0,672.0,595.0,277.0
536,889.155,1478.04,784.0,672.0,576.0,278.0
537,889.328,1480.26,752.0,680.0,577.0,283.0
538,889.502,1482.47,754.0,677.0,581.0,281.0
539,889.675,1484.69,768.0,658.0,581.0,281.0
540,889.849,1486.9,765.0,640.0,579.0,287.0
541,890.022,1489.12,769.0,665.0,576.0,289.0
542,890.196,1491.33,778.0,665.0,580.0,277.0
543,890.369,1493.54,777.0,642.0,589.0,261.0
544,890.543,1495.75,778.0,678.0,596.0,280.0
545,890.716,1497.95,768.0,687.0,578.0,293.0
546,890.889,1500.16,756.0,675.0,582.0,277.0
547,891.062,1502.36,735.0,678.0,597.0,278.0
548,891.235,1504.57,738.0,678.0,582.0,285.0
549,891.409,1506.77,786.0,676.0,586.0,300.0
550,891.582,1508.97,795.0,665.0,601.0,298.0
551,891.755,1511.17,764.0,644.0,590.0,275.0
552,891.928,1513.37,748.0,645.0,578.0,285.0
553,892.101,1515.57,750.0,684.0,572.0,288.0
554,892.274,1517.76,727.0,674.0,556.0,270.0
555,892.447,1519.95,746.0,675.0,571.0,275.0
556,892.62,1522.15,777.0,691.0,606.0,291.0
557,892.792,1524.34,753.0,688.0,599.0,293.0
558,892.965,1526.53,743.0,692.0,588.0,293.0
559,893.138,1528.72,731.0,669.0,584.0,290.0
560,893.311,1530.91,739.0,652.0,568.0,282.0
561,893.483,1533.09,747.0,660.0,576.0,279.0
562,893.656,1535.28,755.0,677.0,575.0,277.0
563,893.828,1537.46,775.0,671.0,583.0,289.0
564,894.001,1539.64,753.0,652.0,601.0,292.0
565,894.174,1541.83,768.0,683.0,612.0,302.0
566,894.346,1544.01,780.0,690.0,617.0,310.0
567,894.518,1546.18,751.0,671.0,595.0,291.0
568,894.691,1548.36,729.0,673.0,573.0,277.0
569,894.863,1550.54,722.0,652.0,567.0,272.0
570,895.036,1552.71,743.0,632.0,557.0,274.0
571,895.208,1554.89,745.0,646.0,561.0,284.0
572,895.38,1557.06,751.0,650.0,552.0,284.0
573,895.552,1559.23,755.0,650.0,551.0,269.0
574,895.725,1561.4,737.0,660.0,581.0,272.0
575,895.897,1563.57,724.0,673.0,591.0,278.0
576,896.069,1565.73,749.0,680.0,573.0,280.0
577,896.241,1567.9,759.0,647.0,559.0,279.0
578,896.413,1570.06,764.0,657.0,565.0,292.0
579,896.585,1572.23,782.0,696.0,563.0,304.0
580,896.757,1574.39,773.0,676.0,584.0,292.0
581,896.929,1576.55,773.0,656.0,591.0,289.0
582,897.101,1578.71,767.0,676.0,574.0,287.0
583,897.272,1580.87,760.0,676.0,576.0,287.0
584,897.444,1583.02,752.0,657.0,571.0,287.0
585,897.616,1585.18,748.0,666.0,576.0,293.0
586,897.788,1587.33,755.0,672.0,598.0,290.0
587,897.959,1589.49,755.0,656.0,590.0,278.0
588,898.131,1591.64,753.0,667.0,583.0,284.0
589,898.302,1593.79,746.0,676.0,587.0,288.0
590,898.474,1595.94,745.0,673.0,596.0,294.0
591,898.646,1598.08,785.0,679.0,614.0,312.0
592,898.817,1600.23,799.0,679.0,600.0,305.0
593,898.989,1602.38,800.0,666.0,589.0,299.0
594,899.16,1604.52,811.0,665.0,603.0,300.0
595,899.331,1606.66,778.0,687.0,607.0,279.0
596,899.503,1608.8,765.0,694.0,596.0,283.0
597,899.674,1610.94,780.0,693.0,591.0,310.0
598,899.845,1613.08,753.0,673.0,590.0,296.0
599,900.016,1615.22,736.0,660.0,585.0,289.0
600,900.188,1617.36,760.0,658.0,576.0,292.0
601,900.359,1619.49,756.0,675.0,583.0,282.0
602,900.53,1621.62,761.0,701.0,602.0,296.0
603,900.701,1623.76,768.0,683.0,605.0,298.0
604,900.872,1625.89,768.0,671.0,604.0,288.0
605,901.043,1628.02,772.0,651.0,584.0,294.0
606,901.214,1630.15,761.0,637.0,578.0,299.0
607,901.385,1632.27,755.0,657.0,596.0,299.0
608,901.556,1634.4,762.0,659.0,586.0,293.0
609,901.727,1636.53,761.0,668.0,587.0,296.0
610,901.897,1638.65,741.0,679.0,594.0,290.0
611,902.068,1640.77,741.0,673.0,586.0,279.0
612,902.239,1642.89,766.0,672.0,603.0,296.0
613,902.41,1645.01,766.0,696.0,607.0,316.0
614,902.58,1647.13,741.0,681.0,597.0,309.0
615,902.751,1649.25,735.0,665.0,591.0,294.0
616,902.921,1651.36,757.0,671.0,603.0,300.0
617,903.092,1653.48,768.0,662.0,601.0,300.0
618,903.262,1655.59,769.0,651.0,598.0,291.0
619,903.433,1657.71,760.0,654.0,586.0,286.0
620,903.603,1659.82,744.0,673.0,582.0,299.0
621,903.774,1661.93,762.0,663.0,602.0,288.0
622,903.944,1664.04,778.0,663.0,599.0,288.0
623,904.114,1666.14,761.0,682.0,610.0,299.0
624,904.285,1668.25,738.0,663.0,581.0,281.0
625,904.455,1670.35,760.0,649.0,583.0,304.0
626,904.625,1672.46,773.0,667.0,593.0,313.0
627,904.795,1674.56,771.0,694.0,591.0,305.0
628,904.965,1676.66,760.0,684.0,578.0,294.0
629,905.135,1678.76,745.0,656.0,561.0,281.0
630,905.306,1680.86,751.0,669.0,585.0,297.0
631,905.476,1682.96,765.0,665.0,586.0,291.0
632,905.646,1685.05,768.0,665.0,599.0,286.0
633,905.815,1687.15,759.0,674.0,601.0,296.0
634,905.985,1689.24,724.0,657.0,571.0,277.0
635,906.155,1691.33,713.0,652.0,581.0,282.0
636,906.325,1693.42,764.0,659.0,607.0,299.0
637,906.495,1695.51,754.0,641.0,588.0,295.0
638,906.665,1697.6,745.0,644.0,592.0,304.0
639,906.834,1699.69,753.0,642.0,586.0,292.0
640,907.004,1701.78,747.0,648.0,569.0,297.0
641,907.174,1703.86,744.0,649.0,563.0,292.0
642,907.343,1705.95,735.0,636.0,559.0,276.0
643,907.513,1708.03,760.0,665.0,583.0,296.0
644,907.682,1710.11,762.0,681.0,609.0,302.0
645,907.852,1712.19,739.0,673.0,609.0,297.0
646,908.021,1714.27,724.0,686.0,581.0,292.0
647,908.191,1716.35,740.0,666.0,566.0,286.0
648,908.36,1718.42,770.0,661.0,579.0,300.0
649,908.53,1720.5,760.0,661.0,586.0,305.0
650,908.699,1722.57,744.0,625.0,577.0,282.0
651,908.868,1724.64,725.0,610.0,572.0,271.0
652,909.037,1726.72,725.0,625.0,579.0,280.0
653,909.207,1728.79,748.0,653.0,585.0,298.0
654,909.376,1730.85,748.0,632.0,575.0,296.0
655,909.545,1732.92,754.0,628.0,574.0,287.0
656,909.714,1734.99,737.0,652.0,563.0,283.0
657,909.883,1737.05,732.0,657.0,566.0,282.0
658,910.052,1739.12,741.0,650.0,573.0,287.0
659,910.221,1741.18,727.0,643.0,542.0,288.0
660,910.39,1743.24,723.0,659.0,543.0,274.0
661,910.559,1745.3,701.0,661.0,546.0,262.0
662,910.728,1747.36,717.0,660.0,552.0,257.0
663,910.897,1749.42,736.0,669.0,577.0,268.0
664,911.065,1751.48,730.0,653.0,572.0,282.0
665,911.234,1753.53,716.0,650.0,575.0,274.0
666,911.403,1755.59,714.0,674.0,586.0,280.0
667,911.572,1757.64,739.0,665.0,565.0,282.0
668,911.74,1759.69,734.0,639.0,548.0,276.0
669,911.909,1761.74,728.0,643.0,569.0,272.0
670,912.078,1763.79,710.0,630.0,568.0,255.0
671,912.246,1765.84,710.0,627.0,543.0,262.0
672,912.415,1767.89,744.0,639.0,547.0,280.0
673,912.583,1769.93,736.0,645.0,551.0,265.0
674,912.752,1771.98,754.0,684.0,577.0,275.0
675,912.92,1774.02,832.0,704.0,616.0,294.0
676,913.088,1776.07,915.0,743.0,639.0,286.0
677,913.257,1778.11,1007.0,807.0,714.0,289.0
678,913.425,1780.15,1092.0,847.0,795.0,298.0
679,913.593,1782.19,1135.0,897.0,852.0,304.0
680,913.761,1784.22,1127.0,883.0,830.0,294.0
681,913.93,1786.26,1097.0,821.0,752.0,267.0
682,914.098,1788.29,1031.0,774.0,734.0,268.0
683,914.266,1790.33,958.0,737.0,705.0,297.0
684,914.434,1792.36,874.0,718.0,648.0,297.0
685,914.602,1794.39,782.0,669.0,603.0,276.0
686,914.77,1796.42,741.0,626.0,563.0,261.0
687,914.938,1798.45,735.0,630.0,584.0,270.0
688,915.106,1800.48,730.0,626.0,590.0,274.0
689,915.274,1802.51,725.0,641.0,545.0,273.0
690,915.442,1804.53,743.0,654.0,553.0,288.0
691,915.61,1806.56,742.0,646.0,580.0,282.0
692,915.777,1808.58,728.0,640.0,584.0,277.0
693,915.945,1810.6,719.0,643.0,567.0,278.0
694,916.113,1812.62,702.0,645.0,559.0,264.0
695,916.281,1814.64,702.0,638.0,550.0,264.0
696,916.448,1816.66,713.0,658.0,544.0,278.0
697,916.616,1818.68,716.0,666.0,578.0,278.0
698,916.783,1820.69,730.0,627.0,585.0,271.0
699,916.951,1822.71,727.0,614.0,589.0,265.0
700,917.118,1824.72,704.0,638.0,600.0,264.0
701,917.286,1826.73,709.0,632.0,584.0,267.0
702,917.453,1828.75,712.0,613.0,573.0,272.0
703,917.621,1830.76,692.0,637.0,575.0,272.0
704,917.788,1832.76,704.0,665.0,584.0,279.0
705,917.955,1834.77,731.0,636.0,581.0,290.0
706,918.123,1836.78,735.0,614.0,573.0,283.0
707,918.29,1838.78,733.0,607.0,546.0,277.0
708,918.457,1840.79,721.0,629.0,530.0,275.0
709,918.624,1842.79,727.0,674.0,559.0,272.0
710,918.792,1844.79,727.0,660.0,571.0,275.0
711,918.959,1846.79,726.0,651.0,563.0,272.0
712,919.126,1848.79,764.0,666.0,575.0,284.0
713,919.293,1850.79,747.0,660.0,565.0,287.0
714,919.46,1852.79,709.0,648.0,552.0,271.0
715,919.627,1854.79,713.0,642.0,566.0,268.0
716,919.794,1856.78,715.0,660.0,577.0,281.0
717,919.961,1858.77,739.0,670.0,582.0,300.0
718,920.128,1860.77,750.0,637.0,567.0,288.0
719,920.294,1862.76,729.0,627.0,572.0,269.0
720,920.461,1864.75,707.0,646.0,570.0,272.0
721,920.628,1866.74,707.0,645.0,555.0,280.0
722,920.795,1868.72,715.0,645.0,550.0,273.0
723,920.961,1870.71,725.0,673.0,549.0,275.0
724,921.128,1872.7,748.0,661.0,574.0,281.0
725,921.295,1874.68,747.0,645.0,590.0,293.0
726,921.461,1876.66,750.0,659.0,583.0,302.0
727,921.628,1878.65,730.0,654.0,579.0,289.0
728,921.794,1880.63,725.0,656.0,571.0,291.0
729,921.961,1882.61,746.0,654.0,567.0,297.0
730,922.127,1884.59,713.0,642.0,554.0,287.0
731,922.294,1886.56,706.0,638.0,560.0,280.0
732,922.46,1888.54,725.0,647.0,585.0,282.0
733,922.626,1890.51,724.0,649.0,550.0,272.0
734,922.793,1892.49,747.0,656.0,537.0,280.0
735,922.959,1894.46,758.0,653.0,562.0,287.0
736,923.125,1896.43,760.0,648.0,587.0,278.0
737,923.291,1898.4,807.0,678.0,616.0,286.0
738,923.458,1900.37,853.0,709.0,645.0,298.0
739,923.624,1902.34,865.0,728.0,663.0,307.0
740,923.79,1904.31,858.0,730.0,658.0,308.0
741,923.956,1906.27,838.0,693.0,650.0,303.0
742,924.122,1908.24,792.0,666.0,611.0,295.0
743,924.288,1910.2,772.0,667.0,591.0,292.0
744,924.454,1912.16,785.0,662.0,600.0,288.0
745,924.62,1914.12,755.0,654.0,559.0,269.0
746,924.786,1916.08,709.0,650.0,546.0,268.0
747,924.952,1918.04,718.0,657.0,572.0,287.0
748,925.117,1920.0,740.0,657.0,560.0,284.0
749,925.283,1921.96,731.0,663.0,554.0,277.0
750,925.449,1923.91,745.0,668.0,576.0,284.0
751,925.615,1925.87,754.0,660.0,589.0,288.0
752,925.78,1927.82,733.0,657.0,579.0,288.0
753,925.946,1929.77,712.0,662.0,567.0,283.0
754,926.112,1931.72,712.0,686.0,580.0,277.0
755,926.277,1933.67,736.0,693.0,591.0,295.0
756,926.443,1935.62,740.0,670.0,587.0,301.0
757,926.608,1937.57,731.0,657.0,571.0,287.0
758,926.774,1939.52,730.0,660.0,571.0,293.0
759,926.939,1941.46,717.0,636.0,572.0,275.0
760,927.105,1943.41,749.0,634.0,577.0,280.0
761,927.27,1945.35,788.0,664.0,584.0,301.0
762,927.435,1947.29,756.0,662.0,572.0,291.0
763,927.601,1949.23,708.0,667.0,588.0,292.0
764,927.766,1951.17,709.0,688.0,587.0,292.0
765,927.931,1953.11,752.0,678.0,582.0,297.0
766,928.096,1955.05,742.0,664.0,596.0,301.0
767,928.262,1956.98,723.0,634.0,578.0,281.0
768,928.427,1958.92,748.0,625.0,575.0,279.0
769,928.592,1960.85,753.0,646.0,586.0,291.0
770,928.757,1962.79,760.0,656.0,589.0,304.0
771,928.922,1964.72,755.0,669.0,583.0,299.0
772,929.087,1966.65,729.0,673.0,570.0,276.0
773,929.252,1968.58,728.0,657.0,573.0,276.0
774,929.417,1970.51,746.0,654.0,591.0,302.0
775,929.582,1972.43,760.0,677.0,596.0,316.0
776,929.747,1974.36,762.0,685.0,594.0,308.0
777,929.911,1976.28,743.0,659.0,588.0,284.0
778,930.076,1978.21,750.0,669.0,597.0,283.0
779,930.241,1980.13,770.0,679.0,596.0,297.0
780,930.406,1982.05,779.0,674.0,579.0,297.0
781,930.57,1983.97,776.0,685.0,596.0,306.0
782,930.735,1985.89,757.0,668.0,595.0,290.0
783,930.9,1987.81,767.0,686.0,596.0,302.0
784,931.064,1989.73,775.0,685.0,586.0,321.0
785,931.229,1991.64,772.0,678.0,588.0,282.0
786,931.393,1993.56,755.0,670.0,584.0,269.0
787,931.558,1995.47,751.0,649.0,580.0,296.0
788,931.722,1997.39,770.0,687.0,598.0,310.0
789,931.887,1999.3,748.0,692.0,599.0,305.0
790,932.051,2001.21,727.0,661.0,602.0,321.0
791,932.216,2003.12,744.0,661.0,582.0,313.0
792,932.38,2005.02,737.0,652.0,575.0,276.0
793,932.544,2006.93,747.0,670.0,589.0,296.0
794,932.709,2008.84,771.0,689.0,588.0,322.0
795,932.873,2010.74,743.0,670.0,578.0,308.0
796,933.037,2012.65,740.0,673.0,576.0,291.0
797,933.201,2014.55,754.0,670.0,574.0,290.0
798,933.365,2016.45,731.0,647.0,563.0,290.0
799,933.529,2018.35,710.0,637.0,563.0,287.0
800,933.693,2020.25,710.0,659.0,566.0,290.0
801,933.857,2022.15,737.0,682.0,579.0,300.0
802,934.021,2024.05,771.0,668.0,581.0,309.0
803,934.185,2025.94,752.0,650.0,561.0,299.0
804,934.349,2027.84,727.0,647.0,573.0,295.0
805,934.513,2029.73,740.0,646.0,582.0,300.0
806,934.677,2031.63,744.0,647.0,583.0,303.0
807,934.841,2033.52,746.0,667.0,592.0,307.0
808,935.005,2035.41,757.0,678.0,580.0,302.0
809,935.168,2037.3,749.0,664.0,559.0,300.0
810,935.332,2039.19,746.0,667.0,574.0,295.0
811,935.496,2041.07,760.0,674.0,588.0,281.0
812,935.66,2042.96,746.0,687.0,603.0,292.0
813,935.823,2044.84,738.0,682.0,620.0,305.0
814,935.987,2046.73,742.0,658.0,605.0,290.0
815,936.15,2048.61,739.0,678.0,603.0,297.0
816,936.314,2050.49,760.0,685.0,590.0,310.0
817,936.477,2052.38,773.0,692.0,568.0,310.0
818,936.641,2054.25,760.0,692.0,582.0,291.0
819,936.804,2056.13,749.0,638.0,586.0,276.0
820,936.968,2058.01,736.0,638.0,586.0,294.0
821,937.131,2059.89,738.0,671.0,586.0,304.0
822,937.294,2061.76,749.0,658.0,570.0,296.0
823,937.458,2063.64,749.0,645.0,557.0,286.0
824,937.621,2065.51,734.0,648.0,553.0,273.0
825,937.784,2067.38,739.0,667.0,586.0,286.0
826,937.947,2069.25,734.0,661.0,586.0,292.0
827,938.11,2071.12,725.0,642.0,558.0,268.0
828,938.274,2072.99,743.0,645.0,563.0,271.0
829,938.437,2074.86,739.0,632.0,543.0,273.0
830,938.6,2076.73,729.0,618.0,546.0,280.0
831,938.763,2078.59,741.0,642.0,576.0,294.0
832,938.926,2080.46,773.0,659.0,587.0,290.0
833,939.089,2082.32,764.0,650.0,574.0,276.0
834,939.252,2084.18,740.0,642.0,565.0,282.0
835,939.415,2086.05,743.0,646.0,591.0,295.0
836,939.578,2087.91,746.0,636.0,582.0,283.0
837,939.74,2089.77,734.0,623.0,552.0,270.0
838,939.903,2091.62,727.0,632.0,557.0,272.0
839,940.066,2093.48,738.0,668.0,573.0,285.0
840,940.229,2095.34,751.0,653.0,557.0,285.0
841,940.391,2097.19,745.0,617.0,551.0,288.0
842,940.554,2099.05,711.0,624.0,555.0,279.0
843,940.717,2100.9,705.0,623.0,555.0,268.0
844,940.879,2102.75,708.0,625.0,559.0,270.0
845,941.042,2104.6,713.0,634.0,571.0,275.0
846,941.204,2106.45,727.0,648.0,581.0,280.0
847,941.367,2108.3,737.0,675.0,591.0,284.0
848,941.529,2110.15,748.0,649.0,588.0,279.0
849,941.692,2112.0,737.0,618.0,558.0,267.0
850,941.854,2113.84,722.0,652.0,563.0,274.0
851,942.017,2115.69,732.0,654.0,574.0,287.0
852,942.179,2117.53,740.0,638.0,550.0,287.0
853,942.341,2119.37,733.0,655.0,550.0,279.0
854,942.504,2121.21,709.0,640.0,565.0,270.0
855,942.666,2123.05,727.0,618.0,558.0,281.0
856,942.828,2124.89,742.0,651.0,558.0,289.0
857,942.99,2126.73,714.0,667.0,554.0,268.0
858,943.153,2128.57,719.0,658.0,564.0,275.0
859,943.315,2130.4,724.0,653.0,565.0,291.0
860,943.477,2132.24,719.0,645.0,569.0,283.0
861,943.639,2134.07,723.0,636.0,572.0,284.0
862,943.801,2135.91,728.0,620.0,549.0,281.0
863,943.963,2137.74,722.0,617.0,536.0,271.0
864,944.125,2139.57,749.0,656.0,559.0,289.0
865,944.287,2141.4,751.0,661.0,558.0,272.0
866,944.449,2143.23,703.0,638.0,545.0,255.0
867,944.611,2145.05,712.0,646.0,560.0,272.0
868,944.772,2146.88,734.0,664.0,561.0,280.0
869,944.934,2148.71,719.0,651.0,546.0,277.0
870,945.096,2150.53,713.0,630.0,537.0,257.0
871,945.258,2152.35,709.0,608.0,548.0,252.0
872,945.419,2154.18,702.0,614.0,559.0,251.0
873,945.581,2156.0,701.0,631.0,563.0,260.0
874,945.743,2157.82,688.0,624.0,560.0,275.0
875,945.904,2159.64,672.0,616.0,546.0,265.0
876,946.066,2161.46,699.0,617.0,531.0,255.0
877,946.228,2163.27,742.0,646.0,552.0,272.0
878,946.389,2165.09,721.0,651.0,574.0,282.0
879,946.551,2166.91,708.0,629.0,572.0,287.0
880,946.712,2168.72,739.0,624.0,564.0,287.0
881,946.873,2170.53,723.0,632.0,572.0,283.0
882,947.035,2172.34,692.0,622.0,570.0,283.0
883,947.196,2174.16,688.0,616.0,544.0,280.0
884,947.358,2175.97,701.0,617.0,527.0,278.0
885,947.519,2177.77,717.0,609.0,541.0,280.0
886,947.68,2179.58,697.0,618.0,552.0,286.0
887,947.841,2181.39,713.0,641.0,578.0,297.0
888,948.003,2183.2,737.0,628.0,577.0,285.0
889,948.164,2185.0,706.0,590.0,531.0,263.0
890,948.325,2186.8,698.0,604.0,548.0,271.0
891,948.486,2188.61,710.0,636.0,582.0,278.0
892,948.647,2190.41,722.0,632.0,557.0,281.0
893,948.808,2192.21,722.0,646.0,535.0,271.0
894,948.969,2194.01,723.0,643.0,554.0,277.0
895,949.13,2195.81,717.0,614.0,546.0,282.0
896,949.291,2197.61,725.0,628.0,551.0,279.0
897,949.452,2199.4,749.0,659.0,571.0,296.0
898,949.613,2201.2,716.0,649.0,555.0,280.0
899,949.774,2202.99,731.0,626.0,539.0,274.0
900,949.935,2204.79,731.0,607.0,533.0,287.0
901,950.095,2206.58,699.0,598.0,544.0,279.0
902,950.256,2208.37,693.0,610.0,557.0,280.0
903,950.417,2210.16,698.0,616.0,565.0,285.0
904,950.578,2211.95,701.0,621.0,558.0,276.0
905,950.738,2213.74,680.0,610.0,521.0,275.0
906,950.899,2215.53,669.0,600.0,507.0,266.0
907,951.06,2217.32,681.0,613.0,516.0,265.0
908,951.22,2219.1,702.0,630.0,539.0,289.0
909,951.381,2220.89,680.0,615.0,544.0,278.0
910,951.541,2222.67,676.0,598.0,533.0,287.0
911,951.702,2224.45,725.0,628.0,565.0,319.0
912,951.862,2226.23,737.0,630.0,572.0,301.0
913,952.023,2228.01,721.0,604.0,558.0,286.0
914,952.183,2229.79,695.0,612.0,562.0,294.0
915,952.343,2231.57,685.0,612.0,562.0,296.0
916,952.504,2233.35,715.0,616.0,564.0,306.0
917,952.664,2235.13,717.0,634.0,571.0,303.0
918,952.824,2236.9,703.0,618.0,557.0,279.0
919,952.985,2238.68,700.0,607.0,550.0,271.0
920,953.145,2240.45,704.0,620.0,543.0,271.0
921,953.305,2242.22,716.0,644.0,552.0,288.0
922,953.465,2243.99,707.0,648.0,589.0,303.0
923,953.625,2245.76,700.0,621.0,576.0,287.0
924,953.785,2247.53,705.0,622.0,571.0,282.0
925,953.945,2249.3,690.0,623.0,566.0,276.0
926,954.105,2251.07,691.0,617.0,564.0,282.0
927,954.265,2252.84,686.0,602.0,560.0,286.0
928,954.425,2254.6,686.0,607.0,563.0,279.0
929,954.585,2256.37,696.0,638.0,562.0,286.0
930,954.745,2258.13,698.0,624.0,543.0,293.0
931,954.905,2259.89,709.0,637.0,566.0,307.0
932,955.065,2261.66,705.0,649.0,580.0,315.0
933,955.225,2263.42,694.0,636.0,586.0,296.0
934,955.385,2265.18,697.0,654.0,586.0,289.0
935,955.544,2266.93,703.0,633.0,563.0,288.0
936,955.704,2268.69,711.0,618.0,555.0,291.0
937,955.864,2270.45,716.0,636.0,558.0,296.0
938,956.023,2272.2,716.0,615.0,557.0,280.0
939,956.183,2273.96,702.0,628.0,571.0,295.0
940,956.343,2275.71,687.0,636.0,566.0,300.0
941,956.502,2277.47,685.0,587.0,545.0,278.0
942,956.662,2279.22,689.0,580.0,554.0,282.0
943,956.821,2280.97,698.0,630.0,587.0,297.0
944,956.981,2282.72,711.0,642.0,575.0,301.0
945,957.14,2284.47,715.0,622.0,549.0,303.0
946,957.3,2286.22,730.0,638.0,569.0,309.0
947,957.459,2287.96,730.0,624.0,590.0,304.0
948,957.619,2289.71,717.0,625.0,575.0,294.0
949,957.778,2291.45,695.0,634.0,562.0,295.0
950,957.937,2293.2,704.0,615.0,576.0,308.0
951,958.096,2294.94,710.0,638.0,569.0,304.0
952,958.256,2296.68,697.0,650.0,552.0,291.0
953,958.415,2298.42,708.0,632.0,559.0,303.0
954,958.574,2300.16,704.0,632.0,573.0,308.0
955,958.733,2301.9,717.0,634.0,579.0,312.0
956,958.892,2303.64,747.0,629.0,589.0,316.0
957,959.051,2305.38,747.0,645.0,589.0,313.0
958,959.21,2307.11,721.0,654.0,577.0,312.0
959,959.37,2308.85,728.0,645.0,565.0,321.0
960,959.529,2310.58,730.0,634.0,552.0,303.0
961,959.688,2312.32,720.0,626.0,554.0,279.0
962,959.846,2314.05,738.0,647.0,563.0,299.0
963,960.005,2315.78,734.0,645.0,571.0,303.0
964,960.164,2317.51,724.0,642.0,583.0,302.0
965,960.323,2319.24,727.0,645.0,591.0,309.0
966,960.482,2320.97,727.0,642.0,586.0,299.0
967,960.641,2322.7,711.0,642.0,563.0,292.0
968,960.8,2324.42,725.0,635.0,578.0,302.0
969,960.958,2326.15,750.0,644.0,589.0,312.0
970,961.117,2327.87,756.0,650.0,590.0,317.0
971,961.276,2329.6,757.0,645.0,591.0,309.0
972,961.434,2331.32,736.0,646.0,571.0,300.0
973,961.593,2333.04,727.0,649.0,569.0,293.0
974,961.751,2334.76,742.0,641.0,555.0,288.0
975,961.91,2336.48,744.0,641.0,551.0,300.0
976,962.069,2338.2,729.0,639.0,574.0,301.0
977,962.227,2339.92,747.0,659.0,589.0,311.0
978,962.386,2341.64,746.0,665.0,580.0,319.0
979,962.544,2343.35,727.0,679.0,585.0,305.0
980,962.702,2345.07,738.0,709.0,600.0,303.0
981,962.861,2346.78,739.0,688.0,577.0,297.0
982,963.019,2348.5,774.0,682.0,596.0,300.0
983,963.177,2350.21,813.0,699.0,609.0,317.0
984,963.336,2351.92,801.0,711.0,606.0,328.0
985,963.494,2353.63,802.0,716.0,622.0,327.0
986,963.652,2355.34,833.0,727.0,619.0,314.0
987,963.81,2357.05,847.0,716.0,615.0,301.0
988,963.969,2358.76,832.0,691.0,611.0,308.0
989,964.127,2360.46,829.0,703.0,614.0,324.0
990,964.285,2362.17,804.0,699.0,600.0,304.0
991,964.443,2363.87,797.0,691.0,605.0,281.0
992,964.601,2365.58,818.0,713.0,617.0,292.0
993,964.759,2367.28,831.0,734.0,612.0,298.0
994,964.917,2368.98,843.0,737.0,626.0,293.0
995,965.075,2370.68,868.0,737.0,635.0,307.0
996,965.233,2372.38,874.0,741.0,625.0,309.0
997,965.391,2374.08,857.0,757.0,639.0,299.0
998,965.549,2375.78,863.0,748.0,650.0,292.0
999,965.707,2377.48,890.0,730.0,652.0,281.0
1000,965.865,2379.17,931.0,750.0,684.0,293.0
1001,966.022,2380.87,960.0,767.0,704.0,295.0
1002,966.18,2382.56,977.0,799.0,713.0,292.0
1003,966.338,2384.26,1027.0,861.0,748.0,318.0
1004,966.496,2385.95,1065.0,882.0,779.0,324.0
1005,966.653,2387.64,1043.0,842.0,775.0,305.0
1006,966.811,2389.33,1054.0,849.0,771.0,309.0
1007,966.969,2391.02,1121.0,908.0,815.0,344.0
1008,967.126,2392.71,1118.0,887.0,794.0,326.0
1009,967.284,2394.4,1095.0,876.0,763.0,293.0
1010,967.441,2396.09,1103.0,906.0,783.0,295.0
1011,967.599,2397.77,1089.0,906.0,769.0,284.0
1012,967.756,2399.46,1096.0,934.0,766.0,288.0
1013,967.914,2401.14,1113.0,945.0,766.0,281.0
1014,968.071,2402.83,1118.0,957.0,773.0,274.0
1015,968.229,2404.51,1146.0,973.0,816.0,302.0
1016,968.386,2406.19,1158.0,986.0,839.0,304.0
1017,968.543,2407.87,1176.0,998.0,824.0,294.0
1018,968.701,2409.55,1201.0,991.0,820.0,290.0
1019,968.858,2411.23,1201.0,989.0,821.0,281.0
1020,969.015,2412.91,1186.0,979.0,821.0,283.0
1021,969.172,2414.58,1189.0,968.0,829.0,281.0
1022,969.33,2416.26,1216.0,1022.0,844.0,286.0
1023,969.487,2417.94,1243.0,1059.0,841.0,279.0
1024,969.644,2419.61,1269.0,1040.0,871.0,282.0
1025,969.801,2421.28,1263.0,1052.0,896.0,293.0
1026,969.958,2422.96,1281.0,1082.0,931.0,296.0
1027,970.115,2424.63,1276.0,1083.0,944.0,286.0
1028,970.272,2426.3,1286.0,1089.0,924.0,275.0
1029,970.429,2427.97,1322.0,1142.0,968.0,302.0
