USB4F00653_1:101,
414.882,43.87969
415.096,592.39879
415.31,420.29811
415.525,361.48504
415.739,-63.56462
415.953,573.51951
416.167,306.85088
416.381,770.58767
416.595,125.98249
416.81,596.59386
417.024,741.25304
417.238,1854.58274
417.452,-122.59269
417.666,208.03422
417.88,165.96272
418.094,397.19589
418.308,214.34381
418.522,573.51951
418.736,758.01636
418.95,216.44694
419.164,24.9255
419.378,302.64737
419.592,852.27694
419.806,-50.91938
420.02,-198.52753
420.234,516.86728
420.447,306.85088
420.661,422.39813
420.875,665.79574
421.089,609.17837
421.303,428.698
421.517,367.78761
421.73,-82.53488
421.944,409.79757
422.158,338.3732
422.372,-101.50802
422.586,-131.02757
422.799,392.99508
423.013,130.19151
423.227,-257.62092
423.44,-181.64903
423.654,586.10596
423.868,458.09372
424.082,-82.53488
424.295,-10.88449
424.509,397.19589
424.722,447.59594
424.936,-6.67103
425.15,386.69363
425.363,369.8884
425.577,493.78049
425.79,-4.56435
426.004,996.70341
426.217,359.38412
426.431,500.07725
426.644,12.28783
426.858,203.82766
427.071,556.73592
427.285,140.71345
427.498,590.30121
427.712,275.3214
427.925,732.87071
428.139,820.86294
428.352,-50.91938
428.565,485.3844
428.779,655.31263
428.992,476.98781
429.206,-126.81006
429.419,-97.29151
429.632,1046.90935
429.846,1111.73683
430.059,539.95044
430.272,-141.57198
430.485,747.5395
430.699,458.09372
430.912,518.9659
431.125,222.75614
431.338,479.087
431.552,848.08876
431.765,441.2969
431.978,772.6828
432.191,529.45854
432.404,390.89463
432.617,359.38412
432.83,862.74691
433.044,302.64737
433.257,938.11083
433.47,409.79757
433.683,-190.08798
433.896,646.92562
434.109,485.3844
434.322,657.40931
434.535,686.7598
434.748,1429.25886
434.961,1629.52294
435.174,1550.27621
435.387,2170.93826
435.6,2642.61247
435.813,1450.12935
436.026,371.98917
436.239,235.37365
436.452,961.1318
436.665,940.20377
436.877,264.80996
437.09,178.58555
437.303,674.1817
437.516,1011.34835
437.729,277.42359
437.942,-29.84681
438.154,881.59115
438.367,500.07725
438.58,-34.06104
438.793,338.3732
439.005,579.81287
439.218,979.96477
439.431,315.25753
439.644,-126.81006
439.856,686.7598
440.069,535.75377
440.282,168.06661
440.494,791.53764
440.707,869.02857
440.92,856.46501
441.132,163.85879
441.345,191.2072
441.557,447.59594
441.77,542.04873
441.982,642.73195
442.195,1063.64136
442.408,279.52575
442.62,718.20054
442.833,653.21592
443.045,357.28317
443.257,521.06449
443.47,649.02242
443.682,218.55004
443.895,121.77335
444.107,609.17837
444.32,885.77847
444.532,544.14699
444.744,948.5753
444.957,883.68482
445.169,678.37452
445.382,724.48793
445.594,311.05427
445.806,843.90048
446.019,210.13745
446.231,462.29262
446.443,556.73592
446.655,445.49629
446.868,1005.0721
447.08,107.04027
447.292,636.44122
447.504,426.59807
447.716,432.89775
447.929,104.93541
448.141,720.29637
448.353,693.04846
448.565,760.11165
448.777,409.79757
448.989,1804.59036
449.201,365.68679
449.414,409.79757
449.626,142.81774
449.838,294.23995
450.05,527.36007
450.262,119.66872
450.474,382.49251
450.686,147.02622
450.898,776.87296
451.11,1122.1906
451.322,-86.75088
451.534,390.89463
451.746,3.86202
451.958,581.91059
452.17,119.66872
452.381,138.60913
452.593,155.44277
452.805,382.49251
453.017,193.31069
453.229,413.99788
453.441,852.27694
453.653,944.38959
453.864,117.56406
454.076,732.87071
454.288,1301.89875
454.5,1648.28731
454.712,174.37807
454.923,1124.28128
455.135,426.59807
455.347,275.3214
455.558,302.64737
455.77,887.87208
455.982,151.23456
456.193,659.50596
456.405,728.67937
456.617,797.82209
456.828,338.3732
457.04,271.11692
457.252,-116.26691
457.463,774.77789
457.675,275.3214
457.886,1224.60459
458.098,1637.86288
458.309,224.85914
458.521,365.68679
458.732,758.01636
458.944,1731.66361
459.155,611.27569
459.367,858.55901
459.578,1044.81773
459.79,407.69736
460.001,-50.91938
460.213,405.59713
460.424,449.69556
460.635,1329.04839
460.847,455.99423
461.058,325.76513
461.269,365.68679
461.481,1617.01239
461.692,521.06449
461.903,602.88625
462.115,579.81287
462.326,170.17046
462.537,609.17837
462.748,607.08103
462.96,770.58767
463.171,153.33868
463.382,747.5395
463.593,552.53973
463.804,1631.60796
464.016,31.24388
464.227,495.87944
464.438,787.34787
464.649,344.67681
464.86,833.42928
465.071,350.98013
465.282,1205.79829
465.493,1084.55409
465.704,111.24989
465.915,573.51951
466.126,388.79414
466.337,432.89775
466.548,273.21917
466.759,180.68924
466.97,892.05923
467.181,630.15023
467.392,982.05719
467.603,1032.26749
467.814,785.25294
468.025,1063.64136
468.236,121.77335
468.447,1138.91532
468.658,858.55901
468.869,380.39191
469.079,285.83203
469.29,931.83182
469.501,753.8257
469.712,625.95609
469.923,1439.69439
470.133,378.29127
470.344,548.34342
470.555,1053.18405
470.766,290.03605
470.976,157.54683
471.187,1023.90014
471.398,497.97836
471.609,348.87905
471.819,634.34425
472.03,954.85367
472.24,640.63507
472.451,229.06504
472.662,510.57125
472.872,552.53973
473.083,764.30214
473.293,1030.17569
473.504,403.49686
473.715,571.42166
473.925,667.89227
474.136,529.45854
474.346,1844.16862
474.557,1258.03314
474.767,357.28317
474.978,441.2969
475.188,531.55698
475.398,596.59386
475.609,344.67681
475.819,342.57563
476.03,3.86202
476.24,787.34787
476.45,1122.1906
476.661,60.72551
476.871,247.98999
477.081,321.56219
477.292,218.55004
477.502,157.54683
477.712,353.08117
477.923,1153.54814
478.133,774.77789
478.343,1101.28244
478.553,269.01463
478.764,1191.1698
478.974,644.8288
479.184,680.47088
479.394,62.83109
479.604,674.1817
479.814,182.7929
480.025,468.59074
480.235,245.88735
480.445,646.92562
480.655,923.45945
480.865,50.19713
481.075,1099.19148
481.285,904.62004
481.495,350.98013
481.705,420.29811
481.915,812.48483
482.125,523.16305
482.335,613.37298
482.545,365.68679
482.755,437.09739
482.965,1092.91846
483.175,453.8947
483.385,336.27193
483.595,487.48347
483.805,602.88625
484.014,954.85367
484.224,1145.18668
