wavelength_nm_reported,counts
882.962,13012.18714
883.205,13131.43713
883.447,13087.34521
883.69,13062.29271
883.932,12931.01445
884.174,12899.94782
884.417,12724.56601
884.659,12293.58671
884.901,12080.07977
885.143,12407.85207
885.385,12441.9304
885.627,12283.56324
885.869,12453.95797
886.111,12852.84622
886.353,12973.10425
886.595,12673.45292
886.837,12024.9465
887.079,11990.86363
887.32,12483.02438
887.562,12873.8917
887.804,12889.92626
888.045,12716.54832
888.287,12428.90049
888.529,12105.14003
888.77,11887.6103
889.011,11902.6474
889.253,12223.42172
889.494,12347.71292
889.735,12171.29813
889.977,12074.06528
890.218,12133.20727
890.459,11913.67457
890.7,11337.20181
890.941,11087.53042
891.182,11375.30248
891.423,11274.03387
891.664,10217.02878
891.905,9097.43844
892.146,8683.00164
892.387,9344.26638
892.628,10045.50612
892.868,9893.03322
893.109,9050.27789
893.35,8420.05966
893.59,8064.74916
893.831,7574.87134
894.071,7062.82043
894.312,6464.30919
894.552,6593.86318
894.793,7250.58293
895.033,6924.24994
895.273,5673.80475
895.514,5095.10493
895.754,5908.86906
895.994,5920.92313
896.234,5150.36762
896.474,5414.60949
896.714,6367.89317
896.954,6593.86318
897.194,6580.80762
897.434,6154.96317
897.674,4597.69458
897.914,3191.44095
898.153,3682.04413
898.393,5608.50577
898.633,6943.32888
898.872,6147.9322
899.112,4888.11191
899.352,4608.74904
899.591,4525.3371
899.83,4751.44844
900.07,4993.61986
900.309,5232.75735
900.549,5166.44384
900.788,5248.83313
901.027,5468.86155
901.266,5216.68148
901.505,4894.14103
901.745,5445.75431
901.984,6239.33352
902.223,7135.11545
902.462,8461.20863
902.701,8988.06494
902.939,8240.40243
903.178,7335.9255
903.417,7729.47286
903.656,8342.7783
903.895,8027.60968
904.133,7341.94958
904.372,7472.46839
904.61,7959.3521
904.849,7531.70191
905.087,5984.20619
905.326,5437.71697
905.564,5809.42108
905.803,5400.54398
906.041,4434.8878
906.279,4426.84773
906.518,5380.45027
906.756,5550.23777
906.994,4815.76144
907.232,4917.25257
907.47,5113.19101
907.708,4677.08481
907.946,4586.64008
908.184,4565.53592
908.422,4698.18819
908.66,4707.23245
908.897,4661.00595
909.135,4978.54752
909.373,5137.30562
909.61,4618.79852
909.848,4956.44129
910.086,6135.87906
910.323,6559.71773
910.561,5703.94226
910.798,5326.19659
911.036,8463.21589
911.273,11214.87541
911.51,10065.56776
911.747,5930.96815
911.985,3976.56982
912.222,3549.3476
912.459,3519.18851
912.696,3947.42007
912.933,4692.15867
913.17,5010.70175
913.407,4982.56682
913.644,5033.81238
913.881,4498.20259
914.118,3596.59626
914.354,3009.45596
914.591,3377.43687
914.828,4012.75532
915.065,4507.24746
915.301,4939.35909
