raman_shift_reported_cm-1,rep1,rep2,rep3
643.775,509.59092,540.22913,575.47031
647.467,489.26548,521.31247,553.73651
651.156,481.01337,521.71349,551.11892
654.842,477.99386,506.21732,537.83639
658.525,480.00664,516.0783,547.29485
662.206,491.47774,521.91475,551.32018
665.883,484.83648,523.92664,554.53943
669.558,475.7799,512.25402,545.48289
673.23,475.376,508.02654,543.06644
676.899,474.97365,509.63655,536.62711
680.565,486.24507,527.95126,555.54552
684.228,503.55107,548.27555,591.56572
687.888,525.68559,570.00722,626.17571
691.545,527.69813,573.22714,615.712
695.2,497.71532,532.98186,572.04633
698.852,478.19592,511.45032,548.50273
702.501,474.97675,501.79166,541.0578
706.147,459.88252,497.96671,529.18339
709.79,465.31463,488.10472,530.38928
713.43,439.55512,496.35427,518.71649
717.068,458.07042,493.94095,523.34649
720.702,459.48002,494.54566,519.72531
724.334,459.68159,496.35715,524.75657
727.963,455.65585,481.66582,525.76163
731.589,457.86935,506.41776,535.62198
735.213,463.30167,501.38567,530.79108
738.833,463.90411,516.07441,540.85127
742.451,471.95291,519.09219,551.11335
746.066,481.61254,528.75172,571.03562
749.678,506.16419,554.71179,593.1721
753.287,532.52642,579.46388,627.58296
756.894,559.89392,619.50847,684.52999
760.498,626.09756,702.01011,766.62763
764.098,773.99712,894.97869,978.10403
767.697,1288.07818,1522.7097,1701.57725
771.292,2364.68159,2922.20807,3281.96681
774.884,2812.7635,3552.77259,3991.26084
778.474,2003.03352,2532.46521,2806.60048
782.061,1013.84546,1223.54751,1360.78523
785.645,778.82767,926.7718,1020.56052
789.227,824.30131,990.35201,1091.58336
792.805,828.52564,982.30222,1067.23619
796.381,691.09249,792.55845,864.01556
799.954,563.31446,622.9289,673.66331
803.525,507.1686,551.08768,596.59093
807.092,477.3836,517.27817,554.1287
810.657,466.92036,505.80895,545.27569
814.219,464.30497,502.18748,541.45308
817.779,460.48095,493.73507,525.75634
821.335,454.24232,489.71005,523.9449
824.889,451.82779,489.50915,531.79332
828.44,462.89619,512.6515,548.89851
831.989,464.90865,512.04791,549.30109
835.534,461.085,506.81565,537.62944
839.077,439.75305,476.02584,511.66942
842.617,445.38845,470.19083,505.43206
846.155,431.50354,474.61853,506.84125
849.689,436.33116,473.20761,500.39936
853.221,431.29952,465.55991,490.5381
856.751,426.87265,465.96274,488.32491
860.277,431.70303,466.76843,488.3257
863.801,431.90471,461.33556,504.22368
867.322,432.10627,463.75072,495.97347
870.841,429.08792,461.1349,490.5404
874.356,440.55855,467.97701,496.57753
877.869,431.30147,466.36696,494.96748
881.38,421.64131,451.87716,493.96043
884.887,429.48989,454.89603,486.11265
888.392,424.05513,447.24763,480.47656
891.895,412.58541,442.41884,478.86763
895.394,419.62865,445.23606,475.44654
898.891,407.15139,436.58234,475.64718
902.385,416.81111,440.20492,474.23889
905.877,416.61056,442.82173,468.80633
909.366,408.15789,444.83338,477.86114
912.852,417.61532,448.05234,477.25656
916.335,426.47013,473.20714,498.789
919.816,427.47607,467.5723,507.03926
923.294,432.91038,466.16465,510.05884
926.77,425.26341,464.95729,495.36886
930.243,432.70897,469.78669,496.576
933.713,430.29486,464.15291,497.18056
937.181,438.74559,466.36519,502.41122
940.646,444.58202,476.02507,520.12036
944.108,446.59443,481.05598,517.70563
947.568,459.67455,497.55694,535.41379
951.025,475.17039,510.63789,563.98943
954.479,482.81772,540.21949,589.94853
957.931,494.28949,559.13682,602.42644
961.38,523.86938,583.48405,629.18798
964.826,618.64783,696.97467,765.21375
968.27,739.78389,853.92435,936.64755
971.711,884.45696,1042.45524,1151.32966
975.15,1715.36862,2092.17949,2347.8465
978.586,4582.71422,5821.16227,6600.56945
982.019,5529.19232,7120.887,8024.61169
985.45,3350.63383,4282.87407,4816.31179
988.878,1029.93291,1262.16556,1405.0336
992.304,636.75726,725.14466,798.21232
995.727,594.50006,661.35756,716.51786
999.147,639.37326,723.73619,792.77954
1002.565,898.94649,1060.96862,1169.44037
1005.98,1237.77117,1514.04812,1687.08091
1009.393,1191.90009,1433.17553,1599.37273
1012.803,780.63618,905.64159,1006.27159
1016.21,547.21645,600.79432,666.41987
1019.615,495.4992,539.82108,601.22187
1023.017,473.76399,520.0983,566.40689
1026.417,480.60496,512.4503,552.92317
1029.814,461.28568,492.12496,540.64727
1033.209,463.70046,490.91751,542.25707
1036.601,460.68243,504.60197,542.86136
1039.99,456.05288,493.33165,546.88465
1043.377,461.08348,493.53258,541.24984
1046.761,472.75478,499.36799,543.86544
1050.143,486.64089,510.83926,563.18466
1053.522,476.7791,515.06375,566.20157
1056.899,479.99965,525.32746,569.82465
1060.273,472.55493,505.20522,566.00244
1063.644,476.3779,506.00963,560.56863
1067.013,467.52268,504.80128,559.3602
1070.38,471.14478,512.64923,568.61662
1073.743,483.01749,511.64293,576.86687
1077.105,490.86635,517.27822,584.71569
1080.464,499.11642,518.88754,588.33719
1083.82,507.36756,536.59656,602.0214
1087.174,512.39801,549.47495,616.10688
1090.525,515.41688,559.33566,625.36378
1093.874,545.80263,582.27557,667.41962
1097.22,560.89534,619.30198,700.62202
1100.564,594.90239,654.31455,735.83494
1103.905,650.44025,739.22971,829.40038
1107.243,769.36198,859.55702,986.94804
1110.579,894.31809,1040.24407,1175.47557
1113.913,894.5195,1029.37927,1161.79446
1117.244,765.9422,865.39326,976.48649
1120.573,656.27556,721.52207,818.33327
1123.899,626.69605,678.66241,768.02976
1127.223,616.23197,666.58866,765.81599
1130.544,652.65372,706.43068,799.82163
1133.862,721.06947,801.80856,922.76294
1137.179,767.95418,859.15541,998.82015
1140.492,749.44293,831.38884,943.08685
1143.804,706.17997,780.48052,904.05151
1147.112,750.04595,841.44888,952.14044
1150.418,798.33766,904.62894,1033.42685
1153.722,847.43511,963.38306,1089.16098
1157.024,930.33484,1064.58964,1211.89188
1160.322,975.00259,1119.9192,1265.00594
1163.619,919.27009,1047.89188,1193.98794
1166.913,823.49204,933.6059,1048.31893
1170.204,720.0661,803.01892,921.358
1173.493,638.36928,697.37847,795.59927
1176.78,604.16204,645.66526,738.05226
1180.064,597.92551,630.17243,738.65787
1183.345,604.96873,631.98368,725.57864
1186.624,603.5581,633.39015,732.0153
1189.901,598.9288,633.59028,723.36149
1193.175,596.71398,630.36926,732.21362
1196.447,598.92708,633.58845,736.63997
1199.717,605.76997,646.46813,745.89753
1202.984,614.22189,651.49915,740.26378
1206.248,610.3977,646.66881,744.48835
1209.51,609.19014,638.8208,745.09178
1212.77,624.48351,652.9067,757.56753
1216.027,636.96046,678.86564,782.92224
1219.282,645.00907,677.05416,792.9826
1222.534,665.93538,696.16923,811.09079
1225.784,682.83906,718.90824,845.49972
1229.032,697.52818,745.06678,862.60271
1232.277,718.05297,760.56084,898.82116
1235.52,735.96078,769.21233,912.50243
1238.76,747.83163,788.52807,932.21959
1241.998,765.33886,820.72397,970.24948
1245.234,806.99173,867.00417,1021.75925
1248.467,859.71049,936.62374,1092.9855
1251.698,936.37188,1025.15458,1217.92868
1254.926,1044.41865,1162.57341,1377.26895
1258.152,1156.69076,1298.98485,1520.5125
1261.375,1296.92181,1468.18008,1711.62381
1264.597,1477.58601,1732.92307,2000.88817
1267.815,1665.48168,1973.30507,2282.28179
1271.032,1710.54434,2036.26592,2343.82914
1274.246,1563.0882,1804.74039,2103.47506
1277.457,1308.38902,1496.54561,1756.88491
1280.667,1135.76775,1263.37592,1493.35567
1283.874,1028.72882,1120.12509,1340.85976
1287.078,1004.58445,1072.44072,1294.18439
1290.28,1019.27282,1088.13485,1305.85382
1293.48,1054.08064,1142.65948,1371.03782
1296.678,1118.26405,1210.664,1452.71825
1299.873,1207.1943,1320.31451,1589.11748
1303.065,1287.67057,1427.1431,1700.56439
1306.256,1280.02498,1394.7522,1685.27524
1309.444,1179.62854,1267.80179,1549.68476
1312.629,1115.44707,1170.42461,1429.58213
1315.813,1098.34554,1133.40469,1402.02073
1318.994,1097.94249,1126.16085,1405.84239
1322.172,1098.94708,1128.57378,1385.1186
1325.349,1112.22828,1142.25733,1406.44663
1328.522,1120.47539,1156.33904,1434.00595
1331.694,1113.83394,1155.93472,1429.97989
1334.863,1122.68659,1156.33699,1448.89075
1338.03,1145.02566,1176.66406,1460.76819
1341.195,1139.39135,1174.85253,1453.12235
1344.357,1149.85431,1185.11421,1474.24712
1347.517,1158.50466,1201.00748,1480.88452
1350.675,1174.60078,1208.65323,1497.38161
1353.83,1183.65547,1223.14011,1518.50638
1356.983,1182.24511,1208.04847,1509.652
1360.134,1180.63688,1221.93228,1520.51732
1363.282,1191.09942,1217.70753,1520.11538
1366.428,1196.53326,1218.71508,1525.34799
1369.572,1198.74622,1231.39014,1546.67247
1372.713,1209.00675,1227.36579,1547.47658
1375.853,1190.09331,1229.77906,1532.78936
1378.989,1197.94015,1243.66162,1542.04373
1382.124,1196.52907,1224.94782,1531.17668
1385.256,1188.68551,1229.37727,1516.69594
1388.386,1170.9791,1212.87819,1517.70042
1391.514,1176.61344,1213.08024,1506.23436
1394.639,1172.79291,1219.11839,1491.14881
1397.762,1162.93145,1202.21511,1498.18649
1400.883,1155.48731,1198.79497,1481.28769
1404.002,1153.87952,1190.54779,1480.28413
1407.118,1142.41185,1199.80354,1482.09564
1410.232,1164.54266,1212.07537,1480.28365
1413.344,1172.1871,1217.10414,1510.86146
1416.453,1198.14218,1263.78178,1550.29304
1419.56,1242.40463,1319.30999,1598.57436
1422.665,1268.96447,1374.84035,1660.33707
1425.768,1252.66684,1347.679,1639.41401
1428.868,1193.31412,1284.90761,1546.47154
1431.966,1135.3706,1193.96961,1473.04349
1435.062,1105.39279,1160.57199,1436.83227
1438.156,1109.01585,1169.02384,1419.93471
1441.247,1111.42908,1161.37704,1428.98643
1444.336,1087.48549,1123.75212,1394.78439
1447.423,1061.73154,1096.99243,1353.5413
1450.508,1038.3921,1065.20266,1321.55273
1453.59,1021.89259,1057.35506,1303.64603
1456.67,1016.25723,1037.83656,1291.57255
1459.748,1013.84503,1039.85095,1298.81836
1462.824,1013.04112,1036.6326,1286.54687
1465.897,1002.37893,1029.18983,1294.39573
1468.968,1013.03998,1040.45434,1270.45005
