USB4F00653_1:101,
345.24,-915.36319
345.458,-915.36319
345.676,-915.36319
345.894,-917.06223
346.113,-959.54769
346.331,-37.15157
346.549,-138.76005
346.767,576.94593
346.986,50.4779
347.204,82.69199
347.422,-174.61701
347.64,-75.29774
347.858,-39.46951
348.077,-35.04438
348.295,-15.44924
348.513,-42.63042
348.731,-153.31249
348.949,127.73627
349.167,3764.93334
349.385,7345.12701
349.603,6669.0692
349.821,6719.27349
350.039,6957.28933
350.257,6899.48899
350.475,6743.34573
350.693,7101.66963
350.911,7311.40898
351.129,7722.51715
351.347,8168.77265
351.565,8198.55667
351.783,8370.05378
352.001,8807.39112
352.219,9054.51608
352.437,8862.60944
352.655,9257.87763
352.873,9734.01152
353.091,9916.94075
353.308,9905.86746
353.526,10132.84696
353.744,10931.30005
353.962,10796.69507
354.18,10892.5798
354.398,11541.62472
354.615,12345.36989
354.833,12352.32608
355.051,12524.57967
355.269,12543.19449
355.486,13577.54647
355.704,13952.88948
355.922,14142.8613
356.139,14609.88888
356.357,15770.39277
356.575,16082.20916
356.792,16440.62952
357.01,16650.98636
357.228,17895.55223
357.445,18907.96421
357.663,18628.90944
357.88,18625.24543
358.098,20516.93933
358.316,19973.99858
358.533,21717.97781
358.751,20829.5724
358.968,23221.92553
359.186,23221.92553
359.403,24550.48016
359.621,24960.07237
359.838,26415.37496
360.056,26379.50103
360.273,27722.78704
360.491,28480.35747
360.708,30442.47843
360.925,29845.6245
361.143,31535.61032
361.36,31789.06969
361.578,34286.69691
361.795,34260.5171
362.012,34978.94505
362.23,35348.3163
362.447,36633.03303
362.664,37365.77214
362.882,37323.27616
363.099,38555.79892
363.316,40046.02741
363.533,40444.60802
363.751,42841.7929
363.968,42699.27853
364.185,44751.89972
364.402,47792.43889
364.62,48370.74858
364.837,46032.96054
365.054,44429.63128
365.271,44137.47981
365.488,44268.28014
365.705,44252.29583
365.923,44363.35792
366.14,45039.45233
366.357,45221.15475
366.574,44776.32804
366.791,45576.59612
367.008,45034.60532
367.225,45618.38587
367.442,44076.72041
367.659,45474.88568
367.876,44689.15125
368.093,44895.12234
368.31,44955.16539
368.527,44850.46486
368.744,44664.72842
368.961,44597.9945
369.178,44171.75297
369.395,44816.55392
369.612,43898.90922
369.829,42743.07587
370.046,43749.32143
370.263,44609.36162
370.479,42436.5845
370.696,41833.84172
370.913,41584.60217
371.13,41966.67041
371.347,40513.64165
371.564,41678.46967
371.78,40203.79553
371.997,40721.21794
372.214,38988.35607
372.431,38893.95674
372.647,37424.85755
372.864,38268.31912
373.081,37150.4249
373.297,36709.84403
373.514,36216.6628
373.731,36233.21218
373.948,35880.40546
374.164,34437.82138
374.381,33623.50274
374.597,33824.08981
374.814,33396.63929
375.031,32854.54254
375.247,31584.65232
375.464,31114.70352
375.68,29818.814
375.897,30887.9553
376.113,29048.08168
376.33,29594.54609
376.546,27945.6995
376.763,27886.49555
376.979,25704.83155
377.196,26051.18562
377.412,25434.53759
377.629,24536.23172
377.845,23350.29386
378.062,24151.36176
378.278,23183.88392
378.495,23349.27666
378.711,22663.34206
378.927,23027.04293
379.144,22038.31069
379.36,21494.25407
379.576,21269.30821
379.793,21034.59551
380.009,20503.31077
380.225,20599.7269
380.442,19343.87509
380.658,20400.79012
380.874,19185.76037
381.09,18254.73641
381.307,18604.0755
381.523,19003.00913
381.739,18373.22613
381.955,17757.68104
382.171,17607.16963
382.388,17779.67607
382.604,16504.22937
382.82,15408.5107
383.036,14802.19733
383.252,15061.41472
383.468,14781.37571
383.684,14284.19528
383.9,13374.39414
384.116,14058.50155
384.332,13220.4715
384.549,12962.65781
384.765,12468.73327
384.981,12338.00446
385.197,12171.0411
385.413,11468.11746
385.629,11152.32692
385.844,11390.30484
386.06,10848.94102
386.276,10762.88751
386.492,10529.6887
386.708,10561.24934
386.924,10640.76161
387.14,9744.67642
387.356,9605.81916
387.572,9547.35827
387.788,9086.94169
388.003,8392.84934
388.219,8170.00511
388.435,8430.84077
388.651,8277.63393
388.867,7652.84752
389.082,7597.56017
389.298,7471.35254
389.514,7620.57985
389.73,7139.30313
389.945,6731.41258
390.161,6803.0088
390.377,6620.30209
390.593,6494.56335
390.808,6037.93696
391.024,6266.49225
391.239,5964.00069
391.455,5942.16838
391.671,5447.03599
391.886,5632.31837
392.102,5830.31805
392.318,4979.75517
392.533,4694.15472
392.749,5021.63273
392.964,4686.3108
393.18,4319.56526
393.395,4197.04383
393.611,4490.58406
393.826,4571.94021
394.042,3833.19275
394.257,3725.62687
394.473,4040.58652
394.688,4455.47676
394.904,3568.15202
395.119,3354.48662
395.334,3654.45088
395.55,3418.68303
395.765,3138.40475
395.98,3085.7605
396.196,3328.18325
396.411,3289.86357
396.626,2858.49782
396.842,2640.6057
397.057,2969.86986
397.272,2880.07039
397.488,2512.07159
397.703,2317.38395
397.918,2621.09077
