USB4F00653_1:101,
417.024,813.18303
417.238,1846.94577
417.452,-474.5518
417.666,-250.58446
417.88,-345.61204
418.094,611.97479
418.308,36.15795
418.522,580.51211
418.736,783.85631
418.95,378.99148
419.164,-102.91355
419.378,-140.86899
419.592,1129.15943
419.806,-582.46745
420.02,-491.47281
420.234,393.69522
420.447,181.39047
420.661,572.12095
420.875,1012.04569
421.089,681.16966
421.303,330.6684
421.517,416.79802
421.73,-193.60439
421.944,257.10107
422.158,164.56011
422.372,-351.94995
422.586,-404.77944
422.799,-64.96973
423.013,-362.51392
423.227,-715.92282
423.44,-447.06059
423.654,1177.23679
423.868,252.89603
424.082,-299.14452
424.295,-335.04962
424.509,-250.58446
424.722,147.72762
424.936,-320.26383
425.15,404.19696
425.363,27.73371
425.577,336.97236
425.79,-330.82492
426.004,1744.86176
426.217,74.06024
426.431,448.29581
426.644,-170.398
426.858,53.00478
427.071,368.48788
427.285,-417.46213
427.498,955.55125
427.712,420.99812
427.925,660.20483
428.139,790.14106
428.352,-476.66679
428.565,570.02308
428.779,538.55156
428.992,276.02213
429.206,-671.41921
429.419,-423.80401
429.632,1233.65877
429.846,1563.4862
430.059,462.99243
430.272,-715.92282
430.485,643.4309
430.699,364.28622
430.912,727.28224
431.125,202.42545
431.338,168.7679
431.552,1014.13772
431.765,718.89915
431.978,1020.41363
432.191,301.24617
432.404,151.93594
432.617,166.66402
432.83,1244.10533
433.044,-81.83222
433.257,1158.42547
433.47,307.55146
433.683,-851.6698
433.896,93.00723
434.109,-208.37441
434.322,326.46561
434.535,378.99148
434.748,993.21633
434.961,570.02308
435.174,139.31057
435.387,360.08443
435.6,584.70752
435.813,-294.92112
436.026,-402.66579
436.239,-250.58446
436.452,804.80452
436.665,729.37794
436.877,-79.72429
437.09,-69.18514
437.303,658.10819
437.516,1152.15459
437.729,196.1153
437.942,-571.88281
438.154,1058.06421
438.367,242.38287
438.58,-383.64474
438.793,109.8467
439.005,103.53215
439.218,1110.34295
439.431,86.69187
439.644,-618.4629
439.856,725.18651
440.069,542.74815
440.282,95.11228
440.494,1398.64467
440.707,1206.49486
440.92,932.5295
441.132,-216.81523
441.345,160.35218
441.557,172.97555
441.77,446.19618
441.982,658.10819
442.195,1782.36775
442.408,-206.26429
442.62,1509.25006
442.833,586.80518
443.045,292.83867
443.257,458.79355
443.47,744.04705
443.682,-105.02188
443.895,-383.64474
444.107,376.89083
444.32,1296.3291
444.532,852.97496
444.744,1542.62792
444.957,1062.24709
445.169,804.80452
445.382,917.87763
445.594,225.56013
445.806,1206.49486
446.019,-218.92553
446.231,542.74815
446.443,882.28905
446.655,240.28014
446.868,1425.78023
447.08,-164.06975
447.292,871.82034
447.504,95.11228
447.716,299.14434
447.929,-113.45556
448.141,1043.42331
448.353,903.22444
448.565,903.22444
448.777,429.39797
448.989,3087.21144
449.201,309.65316
449.414,357.98349
449.626,-286.47476
449.838,202.42545
450.05,383.19271
450.262,177.18308
450.474,267.61309
450.686,185.59773
450.898,662.30145
451.11,1425.78023
451.322,-432.2604
451.534,357.98349
451.746,-373.07884
451.958,716.80331
452.17,-128.21588
452.381,-73.40069
452.593,-292.80947
452.805,2.45766
453.017,69.84942
453.229,647.62456
453.441,1039.23996
453.653,1275.4414
453.864,25.62756
454.076,1062.24709
454.288,2086.34252
454.5,2566.48296
454.712,126.68401
454.923,1621.8777
455.135,217.14798
455.347,-303.36808
455.558,6.67068
455.77,1538.456
455.982,-132.43344
456.193,525.96108
456.405,986.93941
456.617,1448.73805
456.828,-27.0374
457.04,-187.27493
457.252,-394.2116
457.463,1306.77206
457.675,17.20263
457.886,1623.9628
458.098,2805.18174
458.309,38.26392
458.521,-12.28901
458.732,876.0079
458.944,2811.40592
459.155,760.81007
459.367,1193.95628
459.578,1580.17123
459.79,357.98349
460.001,-216.81523
460.213,286.53271
460.424,536.45322
460.635,2154.99222
460.847,595.19552
461.058,122.47488
461.269,78.27092
461.481,2863.26881
461.692,607.78015
461.903,725.18651
462.115,788.04617
462.326,-5.9688
462.537,691.651
462.748,574.21878
462.96,1101.97941
463.171,-132.43344
463.382,1122.88749
463.593,525.96108
463.804,2794.8078
464.016,-235.80925
464.227,760.81007
464.438,1402.81963
464.649,387.39381
464.86,1131.25002
465.071,414.69792
465.282,1757.36451
465.493,1555.14315
465.704,-166.17913
465.915,886.47634
466.126,244.48557
466.337,282.32857
466.548,561.63133
466.759,80.37621
466.97,1411.16926
467.181,687.45855
467.392,1223.2116
467.603,1926.07945
467.814,1139.61215
468.025,1738.61011
468.236,-56.53933
468.447,1953.14491
468.658,1269.17462
468.869,355.88252
469.079,23.52138
469.29,1442.4771
469.501,903.22444
469.712,700.03556
469.923,2556.09998
470.133,538.55156
470.344,574.21878
470.555,1859.44248
470.766,435.69752
470.976,-73.40069
471.187,1565.5719
471.398,546.94462
471.609,309.65316
471.819,1225.30108
472.03,1275.4414
472.24,731.47361
472.451,166.66402
472.662,811.08844
472.872,865.53879
473.083,1254.55129
473.293,1861.5252
473.504,393.69522
473.715,702.13163
473.925,957.64398
474.136,626.65512
474.346,3429.03615
474.557,1815.70079
474.767,368.48788
474.978,727.28224
475.188,886.47634
475.398,700.03556
475.609,322.26268
475.819,597.29303
476.03,-105.02188
476.24,999.49302
476.45,1824.03323
476.661,-191.49453
476.871,542.74815
477.081,372.68941
477.292,80.37621
477.502,71.95484
477.712,620.36373
477.923,1944.81743
478.133,1060.15566
478.343,2132.11124
478.553,441.99681
478.764,2225.70123
478.974,1091.52443
479.184,1164.69614
479.394,-29.14445
479.604,905.31784
479.814,162.45616
480.025,611.97479
480.235,378.99148
480.445,1279.61913
480.655,1703.18052
480.865,-128.21588
481.075,1959.39032
481.285,1267.08564
481.495,471.38982
481.705,454.59455
481.915,1432.04173
482.125,754.52415
482.335,708.41966
482.545,273.91992
482.755,368.48788
482.965,1484.21291
483.175,523.86256
483.385,233.97176
483.595,315.95806
483.805,710.51562
484.014,1162.60594
484.224,1763.6156
484.434,2182.03051
484.644,2369.13525
484.854,534.35485
485.064,297.04248
485.273,731.47361
485.483,4188.15812
485.693,563.72931
485.903,206.63205
486.112,2223.62185
486.322,3778.79307
486.532,528.05957
486.742,1388.20688
486.951,315.95806
487.161,326.46561
487.371,1051.78969
487.58,1765.69925
487.79,166.66402
488,840.41015
488.209,530.15802
488.419,1020.41363
488.628,704.22767
488.838,1911.50435
489.047,1183.50678
489.257,857.16301
489.466,1275.4414
489.676,980.66225
489.885,1803.20151
490.095,2884.01136
490.304,2007.26594
490.514,961.82936
490.723,1110.34295
490.933,1108.2521
491.142,244.48557
491.351,1273.35249
491.561,796.42556
491.77,1198.1359
491.98,-98.697
492.189,1302.59495
492.398,408.39743
492.608,196.1153
492.817,955.55125
493.026,1145.88348
493.235,1638.55786
493.445,402.09667
493.654,970.19979
493.863,1819.86705
494.072,942.99433
494.282,492.38118
494.491,1024.59744
494.7,1684.42121
494.909,294.94059
495.118,420.99812
495.327,813.18303
495.536,351.68048
495.746,448.29581
495.955,651.8181
496.164,660.20483
496.373,1204.40516
496.582,796.42556
496.791,1264.99664
497,901.13102
497.209,191.90837
497.418,997.40082
497.627,137.20623
497.836,1655.23664
498.045,1740.69402
498.254,1713.60162
498.463,504.97454
498.672,1584.34227
498.881,1095.7065
499.089,2048.88862
499.298,1496.73189
499.507,1849.02861
499.716,1302.59495
499.925,1212.76382
500.134,930.43646
500.342,404.19696
500.551,1047.60655
500.76,2009.34726
500.969,1867.77322
501.177,896.94411
501.386,2340.03946
501.595,1260.81857
501.804,521.76401
502.012,1137.52165
502.221,813.18303
502.43,1129.15943
502.638,679.07331
502.847,1477.95312
503.056,641.33403
503.264,811.08844
503.473,769.19091
503.681,832.03307
503.89,1085.25113
504.098,1062.24709
504.307,2358.74429
504.516,982.75466
504.724,932.5295
504.933,1032.96475
505.141,511.27082
505.349,758.71479
505.558,364.28622
505.766,1287.97431
505.975,305.44973
506.183,1325.56789
506.392,1855.27699
506.6,1041.33165
506.808,584.70752
507.017,99.32228
507.225,2416.92813
507.433,1857.35975
507.642,819.46662
507.85,2477.17589
508.058,364.28622
508.267,351.68048
508.475,859.257
508.683,2483.40761
508.891,1196.0461
509.1,2520.79478
509.308,1072.70386
509.516,2001.02187
509.724,1878.1862
509.932,1921.91523
510.14,65.63847
510.349,2387.83789
510.557,1480.03974
510.765,456.69406
510.973,670.68761
511.181,494.48015
511.389,465.09182
511.597,1381.94393
511.805,618.26654
512.013,1830.28235
512.221,1379.85623
512.429,1763.6156
512.637,2387.83789
512.845,2298.46812
513.053,324.36416
513.261,1851.11142
513.469,1162.60594
513.677,2954.525
513.885,1005.76947
514.093,1187.68665
514.3,980.66225
514.508,1287.97431
514.716,3383.48006
514.924,1116.61533
515.132,1244.10533
515.34,1237.83747
515.547,1388.20688
515.755,326.46561
515.963,744.04705
516.171,418.89809
516.378,1544.71385
516.586,1097.7975
516.794,3105.86585
517.001,779.66633
517.209,418.89809
517.417,867.63267
517.624,210.83852
517.832,878.10164
518.04,1160.51572
518.247,2738.78195
518.455,1237.83747
518.662,790.14106
518.87,439.89708
519.078,2402.38343
519.285,294.94059
519.493,1744.86176
519.7,1145.88348
519.908,3033.31458
520.115,2225.70123
520.323,86.69187
520.53,806.89918
520.737,1235.74813
520.945,685.36228
521.152,2269.36398
521.36,370.58866
521.567,1187.68665
521.774,752.42879
521.982,2979.40816
522.189,706.32368
522.396,1346.4499
522.604,378.99148
522.811,1256.64041
523.018,963.922
523.226,1717.76991
523.433,754.52415
523.64,1323.47956
523.847,2271.44297
524.054,1617.70744
524.262,1361.0659
524.469,718.89915
524.676,842.50436
524.883,2848.74814
525.09,953.4585
525.297,1164.69614
525.505,836.22166
525.712,1308.86058
525.919,1014.13772
526.126,924.15716
526.333,507.07333
526.54,4101.35764
526.747,1313.03755
526.954,353.78152
527.161,1269.17462
527.368,815.27759
527.575,282.32857
527.782,517.56682
527.989,1210.67419
528.196,1480.03974
528.403,1049.69813
528.61,3213.62512
528.816,846.69268
529.023,1290.06304
529.23,479.78673
529.437,2915.1224
529.644,1124.97816
529.851,951.36572
530.057,132.99744
530.264,1043.42331
530.471,997.40082
530.678,2381.60383
530.884,624.55802
531.091,2096.7453
531.298,1097.7975
531.505,1427.86742
531.711,1141.70262
531.918,1598.94022
532.125,718.89915
532.331,1490.4725
532.538,2919.27029
532.745,2084.26191
532.951,2032.24047
533.158,2589.32409
533.364,1233.65877
533.571,1009.95365
533.777,1028.78114
533.984,2973.18756
534.19,1060.15566
534.397,1225.30108
534.603,2848.74814
534.81,1676.08319
535.016,1127.06881
535.223,546.94462
535.429,1580.17123
535.636,1147.97388
535.842,1064.3385
536.048,1233.65877
536.255,1020.41363
536.461,2086.34252
536.668,395.79563
536.874,1060.15566
537.08,1198.1359
537.287,1886.51622
537.493,614.07207
537.699,930.43646
537.905,1235.74813
538.112,777.5713
538.318,1336.00919
538.524,863.44489
538.73,1436.21595
538.936,322.26268
539.143,777.5713
539.349,894.85061
539.555,1290.06304
539.761,1705.26478
539.967,1751.11323
540.173,1911.50435
540.379,1651.06707
540.585,1277.53027
540.792,1076.88638
540.998,626.65512
541.204,963.922
541.41,838.31592
541.616,448.29581
541.822,1162.60594
542.028,1206.49486
542.234,1035.05651
542.44,857.16301
542.645,1484.21291
542.851,452.495
543.057,796.42556
543.263,1853.19422
543.469,4991.30793
543.675,1191.86643
543.881,1168.87645
544.087,752.42879
544.292,1281.70796
544.498,989.03174
544.704,706.32368
544.91,473.48909
545.116,1473.77981
545.321,1736.52619
545.527,972.29234
545.733,452.495
545.938,1467.51968
546.144,2119.62976
546.35,1963.55382
546.555,1899.01064
546.761,1331.83274
546.967,2109.22801
547.172,2807.25648
547.378,2960.74599
547.584,1055.97273
547.789,1053.88122
547.995,2140.43186
548.2,1990.61471
548.406,2788.58326
548.611,1709.43324
548.817,1544.71385
549.022,1400.73216
549.228,940.90142
549.433,2782.35858
549.639,859.257
549.844,318.05964
550.05,1292.15175
550.255,1605.19616
550.46,632.94626
550.666,423.09813
550.871,1509.25006
551.076,643.4309
551.282,2236.09784
551.487,2123.79033
551.692,1012.04569
551.898,1640.64278
552.103,1081.06881
552.308,911.59785
552.513,1371.50521
552.719,1158.42547
552.924,1984.37018
553.129,693.74718
553.334,3964.92
553.54,603.58539
553.745,1352.71404
553.95,1463.34614
554.155,458.79355
554.36,1074.79513
554.565,1281.70796
554.77,351.68048
554.975,1037.14825
555.18,1252.46215
555.385,2364.97892
555.59,233.97176
555.795,1003.67735
556,1509.25006
556.205,963.922
556.41,762.90532
556.615,1302.59495
556.82,1402.81963
557.025,1137.52165
557.23,664.39803
557.435,555.3372
557.64,808.99383
557.845,1256.64041
558.05,14421.42709
558.255,739.85602
558.459,2202.82709
558.664,1417.43124
558.869,1724.02219
559.074,926.25029
559.279,1598.94022
559.483,2412.77259
559.688,817.37212
559.893,252.89603
560.098,1292.15175
560.302,641.33403
560.507,1550.97149
560.712,811.08844
560.916,716.80331
561.121,718.89915
561.325,1665.66018
561.53,1701.09624
561.735,737.76046
561.939,1642.72768
562.144,1022.50554
562.348,1085.25113
562.553,1005.76947
562.757,2063.45476
562.962,1179.32681
563.166,217.14798
563.371,1726.10624
563.575,2040.5647
563.78,1258.7295
563.984,2479.25315
564.189,1578.08568
564.393,2258.96881
564.598,343.27603
564.802,546.94462
565.006,1609.36667
565.211,626.65512
565.415,1127.06881
565.619,343.27603
565.824,993.21633
566.028,1948.98121
566.232,1281.70796
566.436,991.12405
566.641,1127.06881
566.845,2581.01845
567.049,1183.50678
567.253,813.18303
567.458,907.4112
