wavelength_nm_reported,counts
783.748,12.32756
784.008,0.25158
784.268,-2.76742
784.528,-1.76108
784.787,5230.2455
785.047,5100.63125
785.307,4911.72592
785.566,4809.22971
785.826,4824.30291
786.085,4797.17111
786.345,4685.62668
786.604,4701.70541
786.863,4691.65621
787.123,4742.90677
787.382,4662.51335
787.641,4556.99371
787.9,4344.9383
788.159,4244.43291
788.418,4200.20949
788.677,4352.97859
788.936,4460.51538
789.195,4482.62527
789.454,4578.09794
789.713,4486.64523
789.972,4433.38029
790.231,4555.98875
790.489,4532.87442
790.748,4544.93409
791.007,4533.87939
791.265,4676.58235
791.524,4621.31088
791.782,4505.73998
792.041,4605.23172
792.299,4864.49771
792.558,5104.65038
792.816,5111.68384
793.074,5260.38754
793.333,5886.26754
793.591,6949.85585
793.849,6989.01741
794.107,5945.53337
794.365,4927.80343
794.623,4519.80972
794.881,4028.33506
795.139,3896.65864
795.397,4135.88335
795.655,4399.20983
795.913,4554.98378
796.17,4611.26142
796.428,4696.68081
796.686,4740.89696
796.943,4688.64145
797.201,4618.29605
797.458,4585.13264
797.716,4623.32077
797.973,4696.68081
798.231,4649.44921
798.488,4451.47037
798.745,4300.71634
799.003,4509.75991
799.26,5312.63301
799.517,5974.66359
799.774,5771.7505
800.031,6007.81143
800.288,7131.60115
800.545,7158.71135
800.802,5704.44455
801.059,4367.04904
801.316,4076.58149
801.573,4051.45324
801.83,4193.17388
802.087,4330.86775
802.343,4346.94838
802.6,4394.18473
802.857,4393.17971
803.113,4299.71129
803.37,4151.96501
803.626,4442.42534
803.883,4769.03417
804.139,4840.38089
804.395,4801.19065
804.652,4828.32241
804.908,4800.18576
805.164,4703.71525
805.42,4766.01948
805.676,4713.7644
805.933,4715.77423
806.189,4703.71525
806.445,4652.46402
806.701,4668.54293
806.956,4528.85452
807.212,4405.23994
807.468,4404.23492
807.724,4552.97384
807.98,4740.89696
808.235,4850.42959
808.491,4639.39984
808.747,4683.61683
809.002,6233.80935
809.258,7945.80078
809.513,7210.92288
809.769,5449.27064
810.024,6670.68899
810.279,11754.77935
810.535,13465.61433
810.79,9174.19813
811.045,4335.89296
811.3,3324.65537
811.555,3422.17479
811.81,3293.48873
812.066,2791.76412
812.321,2378.46118
812.575,2457.90791
812.83,2621.82353
813.085,2516.23465
813.34,2355.33076
813.595,2162.23573
813.85,2091.83371
814.104,2165.25292
814.359,2183.35604
814.613,2252.75042
814.868,2220.5677
815.123,1852.45581
815.377,1727.73123
815.631,1904.75831
815.886,2180.33886
816.14,2421.70457
816.394,2468.96996
816.649,1979.1874
816.903,1779.02979
817.157,2137.09232
817.411,2455.89662
817.665,2426.73284
817.919,2371.42151
818.173,2429.74979
818.427,2483.04887
818.681,2327.17177
818.935,2414.66499
819.189,3134.63461
819.442,3827.30008
819.696,3805.18543
819.95,3424.18547
820.204,3168.81908
820.457,3241.20851
820.711,3180.8841
820.964,2825.95227
821.218,2401.59144
821.471,1726.72537
821.724,1182.51144
821.978,1147.30063
822.231,1629.15537
822.484,2247.72189
822.737,2688.19193
822.991,2874.21728
823.244,2970.7451
823.497,3343.75735
823.75,3806.19064
824.003,3748.89287
824.256,3422.17479
824.509,3009.9587
824.761,2891.31096
825.014,3640.32576
825.267,5133.78892
825.52,5677.32081
825.772,4687.63652
826.025,3417.14809
826.278,2478.0207
826.53,2213.52769
826.783,2319.1263
827.035,2499.13899
827.287,2853.10143
827.54,2890.30545
827.792,2666.06928
828.044,2710.31442
828.297,2794.78074
828.549,2903.37703
828.801,3165.80282
829.053,3158.76486
829.305,2823.94122
829.557,2976.77799
829.809,3256.28943
830.061,3210.04104
830.313,3050.17727
830.565,2880.25035
830.816,2729.42009
831.068,2866.17316
831.32,3321.63925
831.572,3437.25484
831.823,3088.38444
832.075,2807.85271
832.326,2807.85271
832.578,2982.81088
832.829,3147.70518
833.081,3367.886
833.332,3732.8091
833.583,3812.22193
833.834,3716.72524
834.086,3612.1781
834.337,3508.63276
834.588,3477.46795
834.839,3642.33629
835.09,3756.93473
835.341,3834.33653
835.592,3872.5341
835.843,3898.66901
836.094,3877.56006
836.345,3643.34156
836.595,3596.09362
836.846,3924.80369
837.097,4163.02111
837.348,3846.39897
837.598,3715.71999
837.849,4069.5456
838.099,4373.07922
838.35,4291.67086
838.6,4223.32636
838.851,4281.6203
839.101,4518.80474
839.351,5186.03663
839.601,7569.3497
839.852,8245.92279
840.102,6632.5274
840.352,4735.87243
840.602,4373.07922
840.852,4704.72016
841.102,7055.28959
841.352,10222.54542
841.602,9760.1146
841.852,6041.96334
842.102,4630.35538
842.351,4356.99873
842.601,4250.46333
842.851,4303.7315
843.1,4410.26502
843.35,4460.51538
843.6,4528.85452
843.849,4533.87939
844.098,4591.16238
844.348,4661.50842
844.597,4665.52814
844.847,4536.89431
845.096,4519.80972
845.345,4608.24657
845.594,4672.56264
845.843,4597.19211
846.093,4608.24657
846.342,4661.50842
846.591,4619.30099
846.84,4583.12273
847.089,4472.57534
847.338,4623.32077
847.586,4577.09298
847.835,4623.32077
848.084,4534.88437
848.333,4390.16464
848.581,4089.6481
848.83,3955.96399
849.079,4146.9395
849.327,4399.20983
849.576,4513.77984
849.824,4559.00364
850.072,4350.96852
850.321,4250.46333
850.569,4497.7001
850.817,5437.21464
851.066,6521.05254
851.314,6251.88843
851.562,5018.23784
851.81,4539.90923
852.058,4517.79976
852.306,4410.26502
852.554,4205.23491
852.802,3698.63079
853.05,3294.49411
853.298,3265.33795
853.546,3717.73048
853.793,4181.11281
854.041,4337.90304
854.289,4301.7214
