USB4F00653_1:101,
415.953,-209.42948
416.167,-568.70762
416.381,1098.84299
416.595,-397.38185
416.81,417.84806
417.024,768.14333
417.238,2824.89117
417.452,-958.91028
417.666,-649.17438
417.88,-566.59088
418.094,717.85124
418.308,-374.13539
418.522,701.0836
418.736,774.42871
418.95,545.89551
419.164,-627.99311
419.378,-570.8244
419.592,1255.59585
419.806,-918.54891
420.02,-1056.69578
420.234,464.04213
420.447,-435.4317
420.661,589.95161
420.875,967.06093
421.089,745.09479
421.303,-0.7022
421.517,333.82042
421.73,-740.3018
421.944,-302.31218
422.158,-314.98365
422.372,-931.29284
422.586,-869.71218
422.799,-479.83934
423.013,-636.46512
423.227,-914.3013
423.44,-975.90945
423.654,638.18867
423.868,-2.80881
424.082,-224.20143
424.295,-937.66541
424.509,-481.95443
424.722,-424.86102
424.936,-876.08085
425.15,621.41231
425.363,-399.4954
425.577,106.68946
425.79,-778.4716
426.004,1629.17544
426.217,-348.78095
426.431,199.27041
426.644,-295.97695
426.858,-545.42569
427.071,-262.19484
427.285,-653.41113
427.498,816.32485
427.712,417.84806
427.925,751.38109
428.139,839.36304
428.352,-888.81939
428.565,589.95161
428.779,564.77829
428.992,-120.8355
429.206,-965.28462
429.419,-948.28728
429.632,1209.62937
429.846,1637.51539
430.059,690.6029
430.272,-1067.33057
430.485,495.52962
430.699,138.25841
430.912,711.56358
431.125,190.85662
431.338,-270.63946
431.552,782.80882
431.765,673.8323
431.978,1155.29006
432.191,-23.87688
432.404,-479.83934
432.617,-101.8594
432.83,1238.88213
433.044,-632.22903
433.257,1119.75144
433.47,-116.61833
433.683,-1024.79844
433.896,-314.98365
434.109,-604.69853
434.322,270.76654
434.535,89.84959
434.748,1326.61204
434.961,568.97414
435.174,323.31343
435.387,464.04213
435.6,797.47296
435.813,-583.52597
436.026,-929.16874
436.239,-780.59256
436.452,778.61882
436.665,329.61771
436.877,-365.68329
437.09,-659.76658
437.303,606.73147
437.516,1405.95078
437.729,-2.80881
437.942,-931.29284
