USB4F00653_1:101,
492.817,5833.75143
493.026,5891.42953
493.235,5990.29464
493.445,5734.86281
493.654,5588.56189
493.863,5815.21096
494.072,5813.15088
494.282,5266.9883
494.491,5337.08983
494.7,5405.12144
494.909,5157.69513
495.118,5250.49258
495.327,5007.1238
495.536,4996.80915
495.746,5031.87813
495.955,4906.03158
496.164,4755.38807
496.373,4840.00157
496.582,4788.40967
496.791,4726.49238
497,4689.33829
497.209,4334.16361
497.418,4813.17444
497.627,4416.78678
497.836,4433.30959
498.045,4509.71986
498.254,4274.2522
498.463,4315.57129
498.672,4253.59119
498.881,4129.60421
499.089,4067.59702
499.298,4268.054
499.507,4020.05184
499.716,3991.10857
499.925,4224.66411
500.134,3819.47291
500.342,3931.148
500.551,3943.55438
500.76,3707.7652
500.969,3695.35117
501.177,3831.88284
501.386,3840.15591
501.595,3689.144
501.804,3643.62154
502.012,3641.5522
502.221,3730.52317
502.43,3558.76895
502.638,3434.55769
502.847,3496.66886
503.056,3544.27991
503.264,3873.2464
503.473,3507.01964
503.681,3384.86064
503.89,3554.62929
504.098,3339.29857
504.307,3513.22996
504.516,3335.15626
504.724,3297.8731
504.933,3585.67561
505.141,3484.24752
505.349,3554.62929
505.558,3482.17725
505.766,3635.34412
505.975,3291.65883
506.183,3434.55769
506.392,3434.55769
506.6,3432.48712
506.808,3446.98082
507.017,3380.71889
507.225,3556.69913
507.433,3366.22236
507.642,3629.13593
507.85,3507.01964
508.058,3486.31777
508.267,3438.69878
508.475,3722.2477
508.683,3693.28212
508.891,3546.34981
509.1,3726.38546
509.308,3442.83983
509.516,3583.60594
509.724,3703.62723
509.932,3571.18766
510.14,3567.04814
510.349,3755.34846
510.557,3778.10354
510.765,3631.20534
510.973,3658.10657
511.181,3635.34412
511.389,3716.04098
511.597,3604.3021
511.805,3649.82948
512.013,3738.79845
512.221,3716.04098
512.429,3740.86724
512.637,3838.08766
512.845,3724.31659
513.053,3614.64974
513.261,3633.27473
513.469,3738.79845
513.677,3693.28212
513.885,3761.55453
514.093,3680.86761
514.3,3585.67561
514.508,3790.51482
514.716,4108.93618
514.924,3641.5522
515.132,3871.17833
515.34,3831.88284
515.547,3807.06257
515.755,3486.31777
515.963,3864.97404
516.171,3813.26779
516.378,3871.17833
516.586,3836.0194
516.794,3955.96036
517.001,3807.06257
517.209,3778.10354
517.417,3778.10354
517.624,3895.99448
517.832,3689.144
518.04,3875.31446
518.247,3807.06257
518.455,3916.6734
518.662,3695.35117
518.87,3823.6096
519.078,3728.45432
519.285,3577.39685
519.493,3825.67792
519.7,3895.99448
519.908,3910.46984
520.115,3980.77118
520.323,3680.86761
520.53,3637.41349
520.737,3711.90311
520.945,3604.3021
521.152,3858.76966
521.36,3751.21103
521.567,3776.03495
521.774,3600.16296
521.982,3703.62723
522.189,3685.00583
522.396,3881.51858
522.604,3624.99708
522.811,3749.14229
523.018,3935.2835
523.226,3771.89775
523.433,3620.85818
523.64,3610.51072
523.847,3571.18766
524.054,3562.90857
524.262,3819.47291
524.469,3480.10697
524.676,4090.33407
524.883,3742.93602
525.09,3800.85725
525.297,3620.85818
525.505,3811.19939
525.712,3724.31659
525.919,3722.2477
526.126,3713.97205
526.333,3480.10697
526.54,3707.7652
526.747,3478.03668
526.954,3585.67561
527.161,3645.69086
527.368,3533.93023
527.575,3567.04814
527.782,3687.07492
527.989,3689.144
528.196,3618.78871
528.403,3602.23254
528.61,3898.06242
528.816,3726.38546
529.023,3591.88455
529.23,3699.48922
529.437,3844.29237
529.644,3633.27473
529.851,3784.30923
530.057,3651.89877
530.264,3571.18766
530.471,3862.90593
530.678,3707.7652
530.884,3606.37165
531.091,3687.07492
531.298,3670.52186
531.505,3738.79845
531.711,3858.76966
531.918,3716.04098
532.125,4042.79153
532.331,4241.19411
532.538,4220.53152
532.745,4416.78678
532.951,4551.01747
533.158,4394.06692
533.364,4361.01781
533.571,4530.36912
533.777,4610.89258
533.984,4517.97968
534.19,4660.43872
534.397,4480.80936
534.603,4724.42834
534.81,4596.44066
535.016,5108.19682
535.223,4984.43132
535.429,5180.38037
535.636,5349.4598
535.842,5442.22627
536.048,5741.04379
536.255,6099.44146
536.461,6607.88691
536.668,6823.92411
536.874,7449.08279
537.08,7991.62429
537.287,8036.82181
537.493,8611.87907
537.699,8962.91165
537.905,9551.80278
538.112,9847.14973
538.318,10468.34091
538.524,11080.97785
538.73,11928.66588
538.936,12393.17574
539.143,14122.57198
539.349,15100.53032
539.555,16848.19929
539.761,18392.09147
539.967,20854.11584
540.173,22574.79419
540.379,25853.68388
540.585,28182.89694
540.792,31467.83335
540.998,33757.70023
541.204,36271.82936
541.41,36795.50154
541.616,37804.95774
541.822,37332.12057
542.028,37126.94023
542.234,35880.95675
542.44,34885.38518
542.645,34511.98958
542.851,33580.60733
543.057,32872.77574
543.263,33185.43272
543.469,33115.48182
543.675,32950.9244
543.881,32911.84877
544.087,32961.20789
544.292,34202.73341
544.498,35860.28345
544.704,38394.52213
544.91,42438.19008
545.116,45411.94634
545.321,52541.79165
545.527,55322.65368
545.733,57386.3521
545.938,56829.49805
546.144,53097.57781
546.35,48048.51894
546.555,43719.63438
546.761,39571.49306
546.967,37587.15154
547.172,33403.56876
547.378,30973.57451
547.584,27860.29739
547.789,25784.41645
547.995,24593.15832
548.2,23246.06625
548.406,22184.27598
548.611,21521.23657
548.817,20105.554
549.022,19430.08423
549.228,18402.27052
549.433,17913.60834
549.639,17125.32218
549.844,16234.65565
550.05,15520.85424
550.255,14780.08285
550.46,14285.96525
550.666,13364.51486
550.871,12898.38214
551.076,12258.14085
551.282,11594.9945
551.487,11314.46622
551.692,10613.84832
551.898,10406.85296
552.103,9964.03514
552.308,9430.76868
552.513,8971.12149
552.719,8667.31335
552.924,8480.46702
553.129,7853.96399
553.334,7816.97719
553.54,7420.30259
553.745,7118.05309
553.95,6817.75244
554.155,6507.04898
554.36,6369.14671
554.565,6015.00865
554.77,5788.42935
554.975,5458.71657
555.18,5493.75694
555.385,5464.90031
555.59,5013.31249
555.795,5069.00749
556,4994.7462
556.205,4899.84163
556.41,4842.06513
556.615,4645.98829
556.82,4501.4599
557.025,4418.85216
557.23,4515.91474
557.435,4363.08345
557.64,4276.31824
557.845,4181.26985
558.05,5112.32185
558.255,4065.52995
558.459,4020.05184
558.664,4092.40101
558.869,4040.72434
559.074,3939.41896
559.279,3914.60556
559.483,3788.4463
559.688,3771.89775
559.893,3492.52846
560.098,3724.31659
560.302,3531.86026
560.507,3755.34846
560.712,3480.10697
560.916,3482.17725
561.121,3277.15841
561.325,3587.74526
561.53,3295.80169
561.735,3409.71007
561.939,3525.65027
562.144,3492.52846
562.348,3428.34595
562.553,3326.87147
562.757,3620.85818
562.962,3378.64799
563.166,3304.08725
563.371,3285.44444
563.575,3453.19221
563.78,3260.58571
563.984,3229.50961
564.189,3229.50961
564.393,3316.5152
564.598,3123.82829
564.802,3055.42726
565.006,3171.49286
565.211,3150.77002
565.415,3053.35426
565.619,3028.47721
565.824,3161.13161
566.028,3165.27615
566.232,2974.56993
566.436,3038.8429
566.641,2908.20912
566.845,3098.95694
567.049,2912.35711
567.253,3036.76979
567.458,3084.44773
567.662,3024.33084
567.866,2833.53523
568.07,3053.35426
568.274,3208.79055
568.478,2804.49015
568.682,3076.15645
568.887,3113.46547
569.091,2833.53523
569.295,3144.5529
569.499,3045.06214
569.703,2978.71699
569.907,3281.30145
570.111,3047.13519
570.315,2943.46515
570.519,2796.19101
570.723,2978.71699
570.927,2821.0877
571.131,2798.26582
571.335,2854.27991
571.538,2835.60977
571.742,2939.3176
571.946,3059.57321
572.15,2906.13511
572.354,3127.97332
572.558,2715.26158
572.762,3018.11118
572.965,3167.3484
573.169,2920.65291
573.373,3026.40404
573.577,3009.81809
573.78,3007.74478
573.984,2914.43108
574.188,3115.53806
574.392,3246.0839
574.595,3115.53806
574.799,3393.14399
575.003,3500.80921
575.206,3589.81491
575.41,3515.30004
575.613,4257.72347
575.817,5415.42857
576.021,5734.86281
576.224,6967.91646
576.428,7642.29728
576.631,7958.75202
576.835,8203.21248
577.038,7884.78521
577.242,7919.71471
577.445,7194.13949
577.649,7031.67642
577.852,7144.78693
578.056,7597.08058
578.259,7808.7577
578.462,8490.73421
578.666,8400.37929
578.869,8817.176
579.073,8679.63167
579.276,8622.1449
579.479,8310.0161
579.683,8096.39709
579.886,7710.11813
580.089,7356.57166
580.292,7025.50631
580.496,6980.25748
580.699,6622.29125
580.902,6836.26732
581.105,6688.13624
581.309,6657.27209
581.512,7089.26185
581.715,7233.20825
581.918,7424.4141
582.121,7706.00792
582.324,8158.0228
582.527,8369.57459
582.731,8566.70812
582.934,8800.75378
583.137,9038.85018
583.34,9176.34628
583.543,9432.82022
583.746,9408.20145
583.949,9053.2163
584.152,9186.60645
584.355,9356.9105
584.558,9274.83973
584.761,8946.49177
584.964,8728.90343
585.167,8634.46377
585.37,8677.57862
585.572,8470.19972
585.775,8611.87907
585.978,8338.76892
586.181,8774.0671
586.384,9543.59752
586.587,9689.23142
586.789,9494.36461
586.992,9877.9103
587.195,9709.74162
587.398,9572.31566
587.601,9363.06554
587.803,9141.46094
588.006,8636.5169
588.209,8151.8604
588.411,7654.62872
588.614,7338.06826
588.817,7111.88362
589.019,6612.00246
589.222,6443.24662
589.425,6521.45521
589.627,6511.16507
589.83,6231.21857
590.032,6041.78115
590.235,6303.27386
590.437,6492.64246
590.64,6523.51322
590.843,6181.80504
591.045,6712.82667
591.247,6395.90586
591.45,6552.3248
591.652,6546.15098
591.855,7115.9966
592.057,7416.19106
592.26,7558.02798
592.462,7932.04245
592.664,7804.64792
592.867,7847.79963
593.069,7888.89463
593.271,7543.63975
593.474,7699.84256
593.676,7165.35084
593.878,6900.03753
594.081,6465.88678
594.283,6099.44146
594.485,5949.10262
594.687,5631.83755
594.89,5281.42167
595.092,5318.53437
595.294,5089.6338
595.496,4951.42233
595.698,4701.7233
595.9,4866.82728
596.103,4823.49273
596.305,4914.28474
596.507,4707.91569
596.709,4627.40852
596.911,4526.23934
597.113,4854.44636
597.315,4668.69592
597.517,4955.54857
597.719,4877.14449
597.921,4817.30178
598.123,5182.44262
598.325,5324.71959
598.527,5431.91961
598.729,5460.77782
598.931,5328.84303
599.133,5559.70977
599.335,5806.97058
599.536,5681.29177
599.738,5499.94032
599.94,5411.30574
600.142,5491.69579
600.344,5343.27485
600.546,4734.74847
600.747,5017.43824
600.949,4575.79429
601.151,4658.3744
601.353,4740.94044
601.554,4315.57129
601.756,4069.66408
601.958,4282.51633
602.16,3860.8378
602.361,4187.4693
602.563,4055.19446
602.764,3980.77118
602.966,3960.09561
603.168,3653.96805
603.369,3860.8378
603.571,3982.83868
603.772,4131.67096
603.974,4003.51308
604.176,3825.67792
604.377,4079.9992
604.579,4173.00377
604.78,4142.00455
604.981,4053.12733
605.183,4288.71432
605.384,4323.83464
605.586,4449.83181
605.787,4637.7307
605.989,4889.52487
606.19,4637.7307
606.391,4712.0439
606.593,4988.55729
606.794,5128.82166
606.995,5077.25811
607.197,5839.93147
607.398,5708.07786
607.599,7802.59303
607.801,6200.33552
608.002,6655.21444
608.203,7194.13949
608.404,7555.97253
608.605,8246.34612
608.807,8626.25121
609.008,9523.08409
609.209,10685.57004
609.41,11723.97187
609.611,14053.12246
609.812,16497.63851
610.013,20457.47512
610.215,25344.45174
610.416,30385.46637
610.617,34344.97022
610.818,39280.11905
611.019,40661.47427
611.22,42161.83382
611.421,41279.43488
611.622,40367.3824
611.823,38581.49425
612.024,35891.2937
612.225,32961.20789
612.426,30828.03539
612.626,28117.55037
612.827,25409.62253
613.028,23054.84391
613.229,21661.57236
613.43,20174.72028
613.631,19729.18234
613.832,18269.93829
614.032,17891.20788
614.233,16774.83378
614.434,16297.85805
614.635,15482.09286
614.835,14749.46209
615.036,13789.58255
615.237,13470.79749
615.438,12307.24642
615.638,11644.13057
615.839,11261.21897
616.04,10232.61788
616.24,9662.56756
616.441,9441.02635
616.641,8798.70098
616.842,8221.69856
617.043,7765.60418
617.243,7607.3573
617.444,7210.58971
617.644,7074.86587
617.845,6782.77872
618.045,6529.68722
618.246,6544.09303
618.446,6591.42448
618.647,6260.04155
618.847,6208.57113
619.048,6253.8653
619.248,6295.03933
619.448,6284.74604
619.649,6607.88691
619.849,6253.8653
620.049,6620.2335
620.25,6476.17754
620.45,6756.03308
620.65,6587.30882
620.851,6710.76917
621.051,6764.2626
621.251,6795.12256
621.451,6776.60673
621.652,6766.31997
621.852,6799.23713
622.052,6772.49204
622.252,6577.01957
622.452,6844.49601
622.653,6550.26686
622.853,6955.57526
623.053,6856.8389
623.253,6793.06527
623.453,6727.22907
623.653,6947.34768
623.853,6863.01028
624.053,7227.03962
624.253,7050.18646
624.453,7006.99573
624.653,6893.86644
624.853,7101.60108
625.053,7013.16597
625.253,7025.50631
625.453,6982.3143
625.653,7064.58287
625.853,6897.98051
626.053,6980.25748
626.253,6953.51837
626.453,6815.6952
626.653,6597.59793
626.852,6595.54012
627.052,6696.36647
627.252,6152.97889
627.452,6198.2766
627.652,6167.39211
627.851,5967.63934
628.051,5984.116
628.251,5986.17555
628.451,5706.01743
628.65,5802.85036
628.85,5813.15088
629.05,5675.11021
629.249,5689.53377
629.449,5881.13024
629.649,5975.87772
629.848,6183.86401
630.048,6550.26686
630.247,7039.90315
630.447,7352.45983
630.646,7444.97139
630.846,7286.66788
631.045,7243.48921
631.245,6850.66748
631.444,6542.03507
631.644,6165.3331
631.843,5922.32645
632.043,5537.03929
632.242,4982.36831
632.442,4856.50987
632.641,3982.83868
632.84,4015.91721
633.04,3507.01964
633.239,3380.71889
633.439,2982.86399
633.638,3105.17496
633.837,2864.65169
634.036,3877.38251
634.236,2754.69166
634.435,2619.77589
634.634,2580.3263
634.833,2545.02435
635.033,2758.84187
635.232,2378.83309
635.431,2360.12977
635.63,2459.86477
635.829,2389.22322
636.029,2385.06722
636.228,2366.36437
636.427,2191.73581
636.626,2380.91115
636.825,2106.45414
637.024,2177.17771
637.223,2081.48773
637.422,2112.69531
637.621,2085.64899
637.82,2143.89869
638.019,1962.85991
638.218,1931.63161
638.417,1946.20537
638.616,2050.27591
638.815,2071.08427
639.014,1925.38542
639.213,1933.71363
639.412,1831.67102
639.61,1952.45097
639.809,1898.31653
640.008,2027.38453
640.207,1787.92362
640.406,1942.04153
640.605,1779.58976
640.803,1864.99635
641.002,1714.99106
641.201,1906.64577
641.4,1858.74824
641.598,1977.43161
641.797,1685.81085
641.996,1854.58274
642.194,1904.56349
642.393,2008.65349
642.592,1902.48119
642.79,1783.75673
642.989,1879.57456
643.187,1808.75684
643.386,1827.50499
643.585,1792.09043
643.783,1929.54956
643.982,1898.31653
