USB4F00653_1:101,
420.875,672.08525
421.089,699.33686
421.303,720.29637
421.517,720.29637
421.73,422.39813
421.944,718.20054
422.158,688.85605
422.372,684.66352
422.586,653.21592
422.799,887.87208
423.013,588.2036
423.227,869.02857
423.44,661.60258
423.654,747.5395
423.868,929.73877
424.082,862.74691
424.295,619.66467
424.509,841.80629
424.722,774.77789
424.936,820.86294
425.15,862.74691
425.363,933.92485
425.577,929.73877
425.79,896.24628
426.004,1057.36705
426.217,837.61784
426.431,894.15277
426.644,921.36629
426.858,992.51891
427.071,825.05183
427.285,946.48246
427.498,1138.91532
427.712,904.62004
427.925,1138.91532
428.139,1191.1698
428.352,1199.52909
428.565,1230.87292
428.779,1276.83398
428.992,1289.3668
429.206,1149.36746
429.419,1053.18405
429.632,1299.81015
429.846,1310.25291
430.059,1368.72145
430.272,1174.45005
430.485,1445.95543
430.699,1326.9601
430.912,1341.57764
431.125,1251.76576
431.338,1326.9601
431.552,1671.21918
431.765,1510.64092
431.978,1790.00703
432.191,1777.50624
432.404,1742.08327
432.617,2021.14102
432.83,2183.41701
433.044,2004.49082
433.257,2227.08747
433.47,2742.24066
433.683,2765.06708
433.896,4234.99543
434.109,5582.37941
434.322,7578.58219
434.535,8371.62827
434.748,8480.46702
434.961,9748.70991
435.174,11985.97318
435.387,13832.48875
435.6,13064.00514
435.813,8823.33426
436.026,4753.32415
436.239,3430.41654
436.452,2810.71435
436.665,2750.54139
436.877,2233.32545
437.09,2623.92814
437.303,2320.64038
437.516,2407.92437
437.729,2331.03293
437.942,1806.67361
438.154,2233.32545
438.367,2150.13887
438.58,2029.46566
438.793,2200.05432
439.005,1987.83939
439.218,2102.29326
439.431,2062.76115
439.644,1931.63161
439.856,2039.87102
440.069,1969.10504
440.282,2075.24571
440.494,2064.84196
440.707,2019.05981
440.92,2108.53455
441.132,2012.81607
441.345,1962.85991
441.557,2212.53154
441.77,1919.13905
441.982,2087.72959
442.195,2227.08747
442.408,2012.81607
442.62,2247.88012
442.833,2515.9486
443.045,2208.37254
443.257,2235.40475
443.47,2206.29301
443.682,2131.41784
443.895,2368.44253
444.107,2077.3264
444.32,2256.19668
444.532,2189.65613
444.744,2233.32545
444.957,2528.41003
445.169,2368.44253
445.382,2638.46051
445.594,2428.7018
445.806,2557.4844
446.019,2488.94679
446.231,2493.1011
446.443,2422.46875
446.655,2584.47917
446.868,2366.36437
447.08,2613.54739
447.292,2572.02039
447.504,2833.53523
447.716,2466.09691
447.929,2507.64065
448.141,2731.8644
448.353,2638.46051
448.565,2792.04135
448.777,2806.5649
448.989,2796.19101
449.201,2848.05667
449.414,2659.21969
449.626,2636.3845
449.838,2877.09734
450.05,2912.35711
450.262,2814.86373
450.474,2922.72682
450.686,2837.68429
450.898,2972.49638
451.11,3061.64616
451.322,2953.83377
451.534,2889.54245
451.746,2995.30464
451.958,2808.63963
452.17,2987.01093
452.381,3252.29904
452.593,3059.57321
452.805,2922.72682
453.017,3065.79203
453.229,3105.17496
453.441,3204.64658
453.653,3152.84237
453.864,2837.68429
454.076,2937.24381
454.288,3156.98702
454.5,4139.93785
454.712,3140.40809
454.923,3270.94374
455.135,3067.86494
455.347,3163.20389
455.558,3241.94041
455.77,3347.58305
455.982,2933.09617
456.193,3185.99804
456.405,3063.7191
456.617,3156.98702
456.828,3244.01216
457.04,3051.28125
457.252,3080.30212
457.463,3248.15563
457.675,3084.44773
457.886,3055.42726
458.098,3194.28641
458.309,2781.66694
458.521,3125.90081
458.732,3183.92591
458.944,3341.36971
459.155,3326.87147
459.367,3219.15025
459.578,2964.20203
459.79,2889.54245
460.001,2738.09021
460.213,2918.57898
460.424,3229.50961
460.635,2864.65169
460.847,2860.50303
461.058,3082.37493
461.269,2777.51706
461.481,3318.58648
461.692,2812.78905
461.903,2941.39139
462.115,2854.27991
462.326,2779.59201
462.537,3084.44773
462.748,2920.65291
462.96,2837.68429
463.171,2748.46623
463.382,3090.66605
463.593,3082.37493
463.804,2970.42281
464.016,2744.31587
464.227,2748.46623
464.438,2928.94848
464.649,2719.41238
464.86,3022.25763
465.071,2899.91297
465.282,3001.52478
465.493,2964.20203
465.704,2709.03527
465.915,2895.76481
466.126,2777.51706
466.337,2850.1311
466.548,2837.68429
466.759,2688.27988
466.97,2997.37804
467.181,2671.67443
467.392,3107.24761
467.603,2845.98222
467.814,2970.42281
468.025,2717.33699
468.236,2926.87461
468.447,2796.19101
468.658,2891.61659
468.869,2762.99202
469.079,3028.47721
469.29,3047.13519
469.501,2792.04135
469.712,2995.30464
469.923,2912.35711
470.133,2773.36713
470.344,2754.69166
470.555,2881.24577
470.766,2800.34061
470.976,2895.76481
471.187,3020.18441
471.398,2918.57898
471.609,2787.89163
471.819,3150.77002
472.03,3138.33566
472.24,2835.60977
472.451,2729.78911
472.662,2848.05667
472.872,2848.05667
473.083,2962.12841
473.293,3096.88424
473.504,2850.1311
473.715,3221.22215
473.925,2955.90745
474.136,2955.90745
474.346,3059.57321
474.557,2976.64346
474.767,2771.29214
474.978,2848.05667
475.188,2736.01495
475.398,3053.35426
475.609,2792.04135
475.819,2899.91297
476.03,2715.26158
476.24,2881.24577
476.45,2978.71699
476.661,3194.28641
476.871,3163.20389
477.081,2895.76481
477.292,3028.47721
477.502,2978.71699
477.712,3003.59813
477.923,3289.58738
478.133,3057.50024
478.343,3107.24761
478.553,2995.30464
478.764,3103.1023
478.974,3107.24761
479.184,2955.90745
479.394,3090.66605
479.604,3246.0839
479.814,3088.59329
480.025,3326.87147
480.235,3411.78078
480.445,3349.65413
480.655,3266.80057
480.865,3490.45824
481.075,3782.24068
481.285,3633.27473
481.495,3709.83416
481.705,3887.7226
481.915,3978.70367
482.125,4286.64833
482.335,4350.68946
482.545,4489.06969
482.755,4709.9798
482.965,4877.14449
483.175,5112.32185
483.385,5450.47148
483.595,5370.07584
483.805,5652.44395
484.014,6144.74263
484.224,6513.22311
484.434,6387.67238
484.644,6741.63121
484.854,6546.15098
485.064,6976.14383
485.273,7397.68892
485.483,7952.58834
485.693,7572.41598
485.903,7808.7577
486.112,7843.69003
486.322,8180.6179
486.532,8338.76892
486.742,8256.61575
486.951,8108.72255
487.161,8184.72605
487.371,7895.05873
487.58,8118.99364
487.79,7927.93322
488,7849.85442
488.209,7800.53813
488.419,7732.72396
488.628,7383.2981
488.838,7763.5492
489.047,7210.58971
489.257,6858.89603
489.466,7196.19579
489.676,6823.92411
489.885,6786.89336
490.095,7089.26185
490.304,7076.92245
490.514,6673.73312
490.723,6620.2335
490.933,6597.59793
491.142,6626.40672
491.351,6770.43469
491.561,6811.58072
491.77,6424.72233
491.98,6128.26982
492.189,6330.03542
492.398,6045.89991
492.608,5957.34122
