USB4F00653_1:101,
345.24,-1231.50524
345.458,-1231.50524
345.676,-1231.50524
345.894,-1224.26087
346.113,-1246.84813
346.331,-159.67533
346.549,-247.66445
346.767,741.91662
346.986,-81.02418
347.204,263.79381
347.422,-130.14891
347.64,-63.10797
347.858,84.34108
348.077,-75.12208
348.295,-263.28557
348.513,-86.29414
348.731,13.16548
348.949,370.55365
349.167,5921.74285
349.385,11588.47698
349.603,10868.98503
349.821,10711.83265
350.039,11223.15921
350.257,10947.24528
350.475,10952.57169
350.693,11529.10086
350.911,11794.62985
351.129,12525.15926
351.347,12904.95984
351.565,13240.4711
351.783,13386.82827
352.001,14010.05473
352.219,14441.6088
352.437,14350.73714
352.655,14885.03768
352.873,15396.43925
353.091,15952.07444
353.308,16103.58542
353.526,16280.76653
353.744,17439.09107
353.962,17299.34487
354.18,17659.48029
354.398,18690.55185
354.615,19728.60588
354.833,19903.37011
355.051,20174.34733
355.269,20150.953
355.486,21794.00996
355.704,22454.61941
355.922,22924.28278
356.139,23663.37206
356.357,25402.12094
356.575,25914.63565
356.792,26691.97728
357.01,27084.1248
357.228,29048.45648
357.445,30542.41486
357.663,30392.46459
357.88,30351.09077
358.098,33322.71856
358.316,32325.64599
358.533,35264.22779
358.751,34117.85496
358.968,38376.07092
359.186,38212.42706
359.403,40210.01418
359.621,40753.52707
359.838,43057.2936
360.056,43181.46357
360.273,45682.31105
360.491,46841.97196
360.708,49665.74388
360.925,49086.3761
361.143,51971.62826
361.36,52315.41363
361.578,55967.70353
361.795,56299.50127
362.012,57623.33455
362.23,58287.68541
362.447,60394.20259
362.664,61454.87161
362.882,61643.2782
363.099,63843.2052
363.316,65129.63675
363.533,65342.81248
363.751,65363.52898
363.968,65363.52898
364.185,65363.52898
364.402,65363.52898
364.62,65363.52898
364.837,65363.52898
365.054,65363.52898
365.271,65363.52898
365.488,65363.52898
365.705,65363.52898
365.923,65363.52898
366.14,65363.52898
366.357,65363.52898
366.574,65363.52898
366.791,65363.52898
367.008,65363.52898
367.225,65363.52898
367.442,65363.52898
367.659,65363.52898
367.876,65363.52898
368.093,65363.52898
368.31,65363.52898
368.527,65363.52898
368.744,65363.52898
368.961,65363.52898
369.178,65363.52898
369.395,65363.52898
369.612,65363.52898
369.829,65363.52898
370.046,65363.52898
370.263,65363.52898
370.479,65363.52898
370.696,65363.52898
370.913,65363.52898
371.13,65363.52898
371.347,65363.52898
371.564,65363.52898
371.78,65363.52898
371.997,65363.52898
372.214,64637.31846
372.431,64567.83324
372.647,62240.76997
372.864,63754.90016
373.081,61875.28463
373.297,61297.79595
373.514,60514.64775
373.731,60513.05336
373.948,59978.24975
374.164,57552.50252
374.381,56231.26955
374.597,56148.89933
374.814,55922.16065
375.031,54803.55166
375.247,52808.22916
375.464,52181.42081
375.68,50113.96061
375.897,51698.35703
376.113,48399.03122
376.33,49293.09691
376.546,46594.22593
376.763,46868.02801
376.979,43159.85712
377.196,43639.44088
377.412,42469.22088
377.629,41076.87544
377.845,39015.97911
378.062,40196.04837
378.278,38599.6064
378.495,39087.1057
378.711,38037.41778
378.927,38565.73753
379.144,36653.49419
379.36,36266.07109
379.576,35697.02623
379.793,35027.2102
380.009,34376.96126
380.225,34637.21787
380.442,32430.02484
380.658,33841.56384
380.874,32151.44741
381.09,30660.63714
381.307,31252.88965
381.523,31770.76653
381.739,30704.89909
381.955,29709.70645
382.171,29571.80266
382.388,29797.49595
382.604,27946.07379
382.82,25954.57007
383.036,24891.0194
383.252,25043.72052
383.468,24391.27723
383.684,23897.97662
383.9,22561.40365
384.116,23427.36491
384.332,22297.80218
384.549,21741.94335
384.765,21010.96798
384.981,20482.73225
385.197,20295.38517
385.413,19416.68843
385.629,18721.49106
385.844,18983.03037
386.06,18260.1996
386.276,18167.96776
386.492,17809.37566
386.708,17753.57391
386.924,17588.60077
387.14,16305.63921
387.356,16296.66879
387.572,15980.21652
387.788,15292.17749
388.003,14183.88135
388.219,13786.75613
388.435,14153.03986
388.651,13686.22612
388.867,13027.64525
389.082,12846.27034
389.298,12727.45004
389.514,12497.54329
389.73,11912.93995
389.945,11321.05367
390.161,11325.55906
390.377,11032.25975
390.593,10935.15834
390.808,10151.46929
391.024,10343.55084
391.239,9908.70415
391.455,9890.24845
391.671,9106.60863
391.886,9374.3839
392.102,9483.52622
392.318,8344.14287
392.533,7831.18988
392.749,8198.52243
392.964,7816.60046
393.18,7251.95377
393.395,6977.20653
393.611,7338.10253
393.826,7284.44046
394.042,6411.3777
394.257,6173.39753
394.473,6975.14969
394.688,7518.18573
394.904,5930.59971
395.119,5604.67041
395.334,6183.89832
395.55,5738.39971
395.765,5299.60032
395.98,5124.52488
396.196,5295.68285
396.411,5300.63123
396.626,4723.84353
396.842,4476.09402
397.057,4660.88599
397.272,4876.55986
397.488,4150.51234
397.703,3871.62641
397.918,4302.59062
398.133,4274.28663
398.349,3651.10554
398.564,3449.70695
398.779,4035.79749
398.994,3794.6863
399.209,4117.65133
399.425,3198.87946
399.64,3713.17896
399.855,3584.26133
400.07,3120.13226
400.285,3257.92709
400.5,3331.25553
400.715,3383.44555
400.93,3103.34411
401.145,2697.03192
401.36,2841.86786
401.575,3119.09598
401.79,2351.22789
402.005,2737.50222
402.22,3027.06054
402.435,3302.0504
402.65,2778.58912
402.865,3184.58208
403.08,3989.07557
403.295,3978.53138
403.51,4622.48821
403.725,5718.62027
403.94,7850.09415
404.155,9603.52865
404.37,8371.04639
404.585,4886.05152
404.799,3306.81454
405.014,2811.57881
405.229,2072.9916
405.444,2045.52441
405.659,2065.70896
405.873,2098.16698
406.088,1677.71608
406.303,1685.01181
406.518,2371.38657
406.732,2121.25933
406.947,2129.37231
407.162,3098.1624
407.376,2928.77565
407.591,2299.88859
407.806,1444.73802
408.02,1212.52003
408.235,1817.95753
408.45,2056.76139
408.664,1456.21614
408.879,1602.45052
409.093,1666.04237
409.308,1719.61088
409.522,1001.75954
409.737,1436.38987
409.952,1459.5551
410.166,1405.49851
410.381,1377.31617
410.595,1552.39682
410.81,1242.81696
411.024,1688.97224
411.238,1071.20509
411.453,914.28423
411.667,2183.2437
411.882,1399.02738
412.096,696.22763
412.31,820.47895
412.525,1574.08831
412.739,1258.48578
412.954,772.92722
413.168,666.04033
413.382,1219.41564
413.597,980.41813
413.811,867.38838
414.025,958.23691
414.239,1183.05396
414.454,1396.93987
414.668,1073.08726
414.882,623.47451
415.096,1152.74685
415.31,1074.76028
415.525,834.09248
415.739,542.0837
415.953,1171.55877
416.167,863.82877
416.381,1021.42472
416.595,644.44438
416.81,1002.17798
417.024,1218.37087
417.238,1278.53989
417.452,432.72277
417.666,793.45791
417.88,734.7917
418.094,748.4126
418.308,593.48253
418.522,1003.22405
418.736,1174.9029
418.95,629.97548
419.164,573.97404
419.378,784.86887
419.592,1149.82037
419.806,404.79203
420.02,306.25539
420.234,946.30805
420.447,857.54691
420.661,723.89413
420.875,825.50562
421.089,1009.50037
421.303,902.14285
421.517,733.1152
421.73,396.81082
421.944,872.83234
422.158,813.35757
422.372,425.5831
422.586,420.33311
422.799,864.03816
423.013,622.00651
423.227,366.14197
423.44,376.01554
423.654,1031.67481
423.868,934.37834
424.082,479.75174
424.295,430.6229
424.509,838.07159
424.722,926.42471
424.936,476.18311
425.15,668.34652
425.363,913.65625
425.577,911.35363
425.79,450.57039
426.004,1215.44548
426.217,832.2076
426.431,919.72662
426.644,520.46989
426.858,710.0615
427.071,1005.31618
427.285,699.58141
427.498,1011.38322
427.712,722.21751
427.925,1072.87813
428.139,1156.09134
428.352,500.95178
428.565,938.14571
428.779,1154.83716
428.992,986.48606
429.206,407.94239
429.419,485.62929
429.632,1334.51264
429.846,1448.07718
430.059,892.72219
430.272,428.31301
430.485,1203.32547
430.699,1064.51278
430.912,995.69216
431.125,657.86358
431.338,1091.69868
431.552,1423.65823
431.765,918.26138
431.978,1145.6396
432.191,1187.65182
432.404,1013.05684
432.617,902.14285
432.83,1212.72899
433.044,986.06759
433.257,1433.67664
433.47,1057.19276
433.683,554.463
433.896,1327.20373
434.109,1117.83494
434.322,1230.48986
434.535,1224.63942
434.748,1917.92445
434.961,2059.88267
435.174,2125.41986
435.387,2612.33628
435.6,2915.08784
435.813,1843.37019
436.026,891.2567
436.239,874.71675
436.452,1455.79877
436.665,1487.51661
436.877,800.99913
437.09,877.22926
437.303,1366.25083
437.516,1517.56029
437.729,858.38451
437.942,561.38656
438.154,1406.54222
438.367,1070.99596
438.58,632.07251
438.793,914.49355
439.005,1182.42697
439.218,1407.58592
439.431,847.0766
439.644,477.44264
439.856,1284.38859
440.069,1096.29895
440.282,723.2654
440.494,1116.16234
440.707,1281.88203
440.92,1310.28772
441.132,804.35067
441.345,747.15533
441.557,1004.27012
441.77,1020.16957
441.982,984.60294
442.195,1410.717
442.408,853.77768
442.62,1153.58298
442.833,1198.93699
443.045,857.96571
443.257,999.45815
443.47,1120.13474
443.682,732.48651
443.895,643.39596
444.107,911.56296
444.32,1196.84719
444.532,987.9507
444.744,1142.50396
444.957,1255.97886
445.169,1132.26047
445.382,1037.32256
445.594,738.56376
445.806,1145.84864
446.019,721.16962
446.231,879.32298
446.443,906.7483
446.655,890.41928
446.868,1193.71246
447.08,518.37129
447.292,917.63342
447.504,898.37465
447.716,839.74698
447.929,636.47617
448.141,939.61077
448.353,1095.67165
448.565,1078.52451
448.777,799.32333
448.989,1681.25975
449.201,880.16046
449.414,802.67491
449.626,592.01423
449.838,706.07915
450.05,848.96131
450.262,856.29051
450.474,772.29869
450.686,588.86785
450.898,1178.24697
451.11,1340.986
451.322,437.34236
451.534,735.00126
451.746,579.84783
451.958,968.2816
452.17,634.3792
452.381,593.69228
452.593,665.83068
452.805,813.98594
453.017,582.15533
453.229,776.90787
453.441,1068.0681
453.653,1216.28131
453.864,584.25302
454.076,950.91228
454.288,1462.68532
454.5,1732.53194
454.712,742.33573
454.923,1237.59371
455.135,877.43863
455.347,750.71755
455.558,686.58511
455.77,1181.59097
455.982,669.18512
456.193,1032.72071
456.405,952.37723
456.617,1059.49337
456.828,819.43171
457.04,793.45791
457.252,495.91443
457.463,1027.70036
457.675,860.47848
457.886,1312.58505
458.098,1523.19296
458.309,671.28161
458.521,845.19188
458.732,1103.6173
458.944,1687.09625
459.155,919.30799
459.367,1234.04182
459.578,1289.40161
459.79,857.33751
460.001,430.41291
460.213,938.14571
460.424,971.42045
460.635,1393.80857
460.847,857.75631
461.058,890.83799
461.269,830.53213
461.481,1686.88781
461.692,838.90929
461.903,1104.24458
462.115,978.74418
